scenario_header,uprice,point_header_original,shock_value,shock_type,Notional,ab_Epsilon,ab_Th PnL,ab_Theta,ab_Vega,ab_WVega,ab_Zeta,ab_sDeltaPath,ab_sGammaPath,ab_sOEV
XCME.ZN,109.8671875,-30%,-0.3,percentage,825530865.01,-289000.0,,0.0,0.0,0.0,0.0,3661000.0,0.0,0.0
XCME.ZN,109.8671875,-25%,-0.25,percentage,825530865.01,-289000.0,,0.0,0.0,0.0,-0.04,3661000.0,0.0,125.79
XCME.ZN,109.8671875,-20%,-0.2,percentage,825530865.01,-289000.0,,0.0,-0.0,-0.0,-0.04,3661000.0,0.0,0.14
XCME.ZN,109.8671875,-15%,-0.15,percentage,825530865.01,-289000.0,,0.0,-0.0,-0.0,-0.05,3661000.0,0.0,-397.65
XCME.ZN,109.8671875,-10%,-0.1,percentage,825530865.01,-289000.0,,-0.0,-0.0,-0.0,-0.07,3661000.0,0.0,-1620.59
XCME.ZN,109.8671875,-5%,-0.05,percentage,825530865.01,-319000.0,,-0.0,-0.0,-0.0,-0.08,3511000.0,0.0,-1966.81
XCME.ZN,109.8671875,-2.5%,-0.025,percentage,825530865.01,-319000.0,,0.0,-0.0,-0.0,-0.08,3511000.0,-0.0,-2005.8
XCME.ZN,109.8671875,-2,-2.0,absolute_usd,825530865.01,-319000.0,,0.0,-0.0,-0.0,-0.08,3511000.0,-0.0,-1700.05
XCME.ZN,109.8671875,-1.5,-1.5,absolute_usd,825530865.01,-319000.0,,0.0,-0.0,-0.0,-0.09,3511000.0,-0.0,-1413.88
XCME.ZN,109.8671875,-1,-1.0,absolute_usd,825530865.01,-319000.0,,0.0,-0.0,-0.0,-0.09,3511000.0,-0.0,-950.41
XCME.ZN,109.8671875,-0.5,-0.5,absolute_usd,825530865.01,-319000.0,,-0.0,-0.0,-0.0,-0.05,4711000.0,0.0,-1242.45
XCME.ZN,109.8671875,-0.25,-0.25,absolute_usd,825530865.01,-319000.0,,-0.0,-0.0,-0.0,-0.05,4711000.0,-0.0,-1311.72
XCME.ZN,109.8671875,0,0.0,absolute_usd,825530865.01,-319394.95,,9.58,2.91,0.7,13552.2,5311839.29,41254.4,274324.66
XCME.ZN,109.8671875,0.25,0.25,absolute_usd,825530865.01,-19309.84,,18.34,5.56,1.33,-22421.57,7358242.05,78164.34,527465.54
XCME.ZN,109.8671875,0.5,0.5,absolute_usd,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,1,1.0,absolute_usd,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,1.5,1.5,absolute_usd,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,2,2.0,absolute_usd,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,2.5%,0.025,percentage,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,5%,0.05,percentage,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,10%,0.1,percentage,825530865.01,-20000.0,,0.0,0.0,0.0,-0.0,7360000.0,0.0,0.0
XCME.ZN,109.8671875,15%,0.15,percentage,825530865.01,-20000.0,,-0.0,-0.0,-0.0,0.0,7360000.0,0.0,7.96
XCME.ZN,109.8671875,20%,0.2,percentage,825530865.01,-20000.0,,-0.0,-0.0,-0.0,-0.0,7360000.0,0.0,1.13
XCME.ZN,109.8671875,25%,0.25,percentage,825530865.01,-20000.0,,0.0,0.0,0.0,-0.0,7360000.0,0.0,0.0
XCME.ZN,109.8671875,30%,0.3,percentage,825530865.01,-20000.0,,0.0,0.0,0.0,-0.0,7360000.0,0.0,0.0
w/o first,109.8671875,-30%,-0.3,percentage,825716250.0,0.0,,0.0,0.0,0.0,0.0,3950000.0,0.0,0.0
w/o first,109.8671875,-25%,-0.25,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.04,3950000.0,0.0,0.0
w/o first,109.8671875,-20%,-0.2,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.04,3950000.0,0.0,0.0
w/o first,109.8671875,-15%,-0.15,percentage,825716250.0,-0.0,,0.0,-0.0,-0.0,-0.05,3950000.0,0.0,-397.79
w/o first,109.8671875,-10%,-0.1,percentage,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.07,3950000.0,0.0,-1746.55
w/o first,109.8671875,-5%,-0.05,percentage,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.08,3830000.0,0.0,-2092.88
w/o first,109.8671875,-2.5%,-0.025,percentage,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.08,3830000.0,-0.0,-2131.73
w/o first,109.8671875,-2,-2.0,absolute_usd,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.08,3830000.0,-0.0,-1794.54
w/o first,109.8671875,-1.5,-1.5,absolute_usd,825716250.0,-0.0,,0.0,-0.0,-0.0,-0.09,3830000.0,-0.0,-1476.77
w/o first,109.8671875,-1,-1.0,absolute_usd,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.09,3830000.0,-0.0,-981.86
w/o first,109.8671875,-0.5,-0.5,absolute_usd,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.05,5030000.0,0.0,-1281.76
w/o first,109.8671875,-0.25,-0.25,absolute_usd,825716250.0,-0.0,,-0.0,-0.0,-0.0,-0.05,5030000.0,-0.0,-1356.93
w/o first,109.8671875,0,0.0,absolute_usd,825716250.0,-394.95,,9.58,2.91,0.7,13552.2,5630839.29,41254.4,274277.49
w/o first,109.8671875,0.25,0.25,absolute_usd,825716250.0,690.16,,18.34,5.56,1.33,-22421.57,7378242.05,78164.34,527465.54
w/o first,109.8671875,0.5,0.5,absolute_usd,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,1,1.0,absolute_usd,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,1.5,1.5,absolute_usd,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,2,2.0,absolute_usd,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,2.5%,0.025,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,5%,0.05,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,10%,0.1,percentage,825716250.0,0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,15%,0.15,percentage,825716250.0,0.0,,-0.0,-0.0,-0.0,0.0,7380000.0,0.0,7.96
w/o first,109.8671875,20%,0.2,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,25%,0.25,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
w/o first,109.8671875,30%,0.3,percentage,825716250.0,-0.0,,0.0,0.0,0.0,-0.0,7380000.0,0.0,0.0
21MAY25,109.8671875,-30%,-0.3,percentage,-185384.99,-289000.0,9640839.84,0.0,0.0,0.0,0.0,-289000.0,0.0,0.0
21MAY25,109.8671875,-25%,-0.25,percentage,-185384.99,-289000.0,8053258.98,0.0,0.0,0.0,0.0,-289000.0,0.0,125.79
21MAY25,109.8671875,-20%,-0.2,percentage,-185384.99,-289000.0,6465678.13,0.0,-0.0,-0.0,-0.0,-289000.0,0.0,0.14
