Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,,
XCME.ZT.SEP25,103.9570312,103.9609375,INVALID,F,,,,
XCME.ZF.SEP25,109.0468750,109.0546875,INVALID,F,,,,
XCME.ZN.SEP25,112.2187500,112.2343750,INVALID,F,,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,,
XCME.GY2.12AUG25.112:75.P,.6093750,.6406250,112.7500000,P,,690.5841770,720.1809461,705.4129933
XCME.GY2.12AUG25.112:25.P,.2812500,.3125000,112.2500000,P,,652.5818871,706.1337839,679.4449342
XCME.GY2.12AUG25.112:5.C,.1718750,.1875000,112.5000000,C,,644.9572636,699.7865242,672.3968532
XCME.GY2.12AUG25.110:25.C,1.9687500,2,110.2500000,C,,,,
XCME.GY2.12AUG25.113.C,.0468750,.0625000,113,C,,683.4770160,717.5256810,700.6002387
XCME.GY2.12AUG25.113:25.C,.0312500,.0468750,113.2500000,C,,,,
XCME.GY2.12AUG25.114.C,.0069999,.0156250,114,C,,,,
XCME.GY2.12AUG25.111.P,.0156250,.0312500,111,P,,,,
XCME.GY2.12AUG25.113:75.P,1.5156250,1.5468750,113.7500000,P,,,,
XCME.GY2.12AUG25.112:5.P,.4375000,.4531250,112.5000000,P,,664.8194874,719.5795448,692.2223319
