Key,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZT.SEP25,103.8906250,103.8945312,INVALID,F,,,
XCME.ZF.SEP25,108.9140625,108.9218750,INVALID,F,,,
XCME.ZN.SEP25,112.0937500,112.1093750,INVALID,F,,,
XCME.ZB.SEP25,115.5312500,115.5625000,INVALID,F,,,
XCME.ZB,INVALID,INVALID,INVALID,N,,,
XCME.ZF,INVALID,INVALID,INVALID,N,,,
XCME.ZN,INVALID,INVALID,INVALID,N,,,
XCME.ZT,INVALID,INVALID,INVALID,N,,,
XCME.VY2.11AUG25.112:5.C,.0156250,.0312500,112.5000000,C,353.8480391,437.0270664,398.2013218
XCME.VY2.11AUG25.112:75.C,.0069999,.0156250,112.7500000,C,428.9075116,509.6718466,473.4335749
XCME.VY2.11AUG25.112:25.P,.2187500,.2500000,112.2500000,P,368.8577163,463.9373967,416.8349895
XCME.VY2.11AUG25.113:5.P,1.3906250,1.4062500,113.5000000,P,,818.0469622,734.6213832
XCME.VY2.11AUG25.111.P,INVALID,.0069999,111,P,,660.4887813,592.3784433
XCME.VY2.11AUG25.110:5.C,1.5937500,1.6093750,110.5000000,C,,917.6151345,826.9735557
XCME.VY2.11AUG25.111:5.P,.0069999,.0156250,111.5000000,P,402.6063528,480.2550024,445.3738388
XCME.VY2.11AUG25.113.C,.0069999,.0156250,113,C,553.8876951,651.1982525,607.8830189
XCME.VY2.11AUG25.112.C,.2031250,.2187500,112,C,412.0100244,457.3997567,434.7465801
XCME.VY2.11AUG25.111.C,1.0937500,1.1250000,111,C,,839.1808118,725.1063463
XCME.VY2.11AUG25.110:25.C,1.8437500,1.8593750,110.2500000,C,,1036.1638373,936.4249075
