Key,bloombergkey,BID,ASK,STRIKE,ITYPE,IVBID,IVASK,IVAVERAGE
Type,,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZF.SEP25,FVU5 Comdty,108.7421875,108.7500000,INVALID,F,,,
XCME.ZN.SEP25,TYU5 Comdty,111.8125000,111.8281250,INVALID,F,,,
XCME.ZB.SEP25,USU5 Comdty,115,115.0312500,INVALID,F,,,
XCME.ZT.SEP25,TUU5 Comdty,103.8398437,103.8437500,INVALID,F,,,
XCME.ZN,,INVALID,INVALID,INVALID,N,,,
XCME.ZB,,INVALID,INVALID,INVALID,N,,,
XCME.ZF,,INVALID,INVALID,INVALID,N,,,
XCME.ZT,,INVALID,INVALID,INVALID,N,,,
XCME.ZN2.08AUG25.114.P,2MQ5P 114 Comdty,2.1562500,2.1875000,114,P,,,
XCME.ZN2.08AUG25.111:75.P,2MQ5P 111.75 Comdty,INVALID,.0156250,111.7500000,P,,,
XCME.ZN2.08AUG25.110.P,2MQ5P 110 Comdty,INVALID,.0069999,110,P,,,
XCME.ZN2.08AUG25.112:5.P,2MQ5P 112.5 Comdty,.6562500,.6718750,112.5000000,P,,,
XCME.ZN2.08AUG25.111.P,2MQ5P 111 Comdty,INVALID,.0069999,111,P,,,
XCME.ZN2.08AUG25.113:5.P,2MQ5P 113.5 Comdty,1.6562500,1.6875000,113.5000000,P,,,
XCME.ZN2.08AUG25.112:75.C,2MQ5C 112.75 Comdty,INVALID,.0069999,112.7500000,C,,,
XCME.ZN2.08AUG25.110:25.P,2MQ5P 110.25 Comdty,INVALID,.0069999,110.2500000,P,,,
XCME.ZN2.08AUG25.111:5.C,2MQ5C 111.5 Comdty,.3125000,.3437500,111.5000000,C,,,
XCME.ZN2.08AUG25.110:75.C,2MQ5C 110.75 Comdty,1.0625000,1.0937500,110.7500000,C,,,
