expiry,strike,itype,rows,first_ts,last_ts,source_days,path
19AUG25,110.0,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_110_0_C.csv
19AUG25,110.25,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_110_25_C.csv
19AUG25,110.5,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_110_5_C.csv
19AUG25,110.75,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_110_75_C.csv
19AUG25,111.0,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_111_0_C.csv
19AUG25,111.25,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_111_25_C.csv
19AUG25,111.5,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_111_5_C.csv
19AUG25,111.75,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_111_75_C.csv
19AUG25,112.0,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_112_0_C.csv
19AUG25,112.25,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_112_25_C.csv
19AUG25,112.5,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_112_5_C.csv
19AUG25,112.75,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_112_75_C.csv
19AUG25,113.0,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_113_0_C.csv
19AUG25,113.25,C,272,2025-08-18 18:04:30,2025-08-19 16:59:27,2025-08-19,data\FiveMinuteMarketSelected_by_instrument\19AUG25\19AUG25_113_25_C.csv
