Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.GY5.29JUL25.110.P,INVALID,.0069999,110,P,0,,1532.2013631,1369.7532176,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111.C,.0625000,.0781250,111,C,.0457068,599.4113786,715.6582624,657.6270805,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.113.C,INVALID,.0069999,113,C,0,,,,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:25.C,.0069999,.0156250,111.2500000,C,.0025303,596.2500859,739.2607927,673.9581898,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:25.P,INVALID,.0069999,110.2500000,P,0,,1186.1870946,1049.1517861,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:25.C,.7031250,.7187500,110.2500000,C,.7074371,,1615.9582750,1398.4445066,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:5.C,INVALID,.0069999,112.5000000,C,0,,,,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:25.C,INVALID,.0069999,112.2500000,C,0,,1957.5696291,1759.0677113,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:75.C,INVALID,.0069999,111.7500000,C,0,,1312.7914380,1166.3074244,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:75.P,.7812500,.7968750,111.7500000,P,.7925622,,1206.2216382,884.0569497,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111.P,.0937500,.1250000,111,P,.0882691,514.6517379,631.5728173,573.2551853,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.113.P,2.0312500,2.0468750,113,P,2.0425624,,,1980.0981140,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:75.P,1.7812500,1.7968750,112.7500000,P,1.7925625,,,1832.3977730,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:75.C,INVALID,.0069999,112.7500000,C,0,,,,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:5.P,INVALID,.0069999,110.5000000,P,.0001151,,837.8404448,730.7432270,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112.P,1.0312500,1.0468750,112,P,1.0425622,,1510.7307696,1121.5583701,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:25.P,1.2812500,1.2968750,112.2500000,P,1.2925624,,1813.2172074,1361.7516324,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112:5.P,1.5312500,1.5468750,112.5000000,P,1.5425624,,,1599.0945728,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:5.C,INVALID,.0069999,111.5000000,C,.0000311,,965.5173069,848.1894097,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:5.C,.4531250,.4843750,110.5000000,C,.4575529,,1187.2065325,1007.9487034,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110.C,.9531250,.9687500,110,C,.9574374,,,1780.3585583,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.112.C,INVALID,.0069999,112,C,0,,1637.0969595,1462.9200380,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:75.P,.0156250,.0312500,110.7500000,P,.0075783,583.0708598,755.7971265,674.0073390,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:5.P,.5312500,.5625000,111.5000000,P,.5425932,,880.0416431,629.2546087,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.111:25.P,.2812500,.3125000,111.2500000,P,.2950916,,797.6258614,620.0664642,0,0,0,,,-111140.6250000,0
XCME.GY5.29JUL25.110:75.C,.2187500,.2500000,110.7500000,C,.2150196,525.8567181,865.1897969,711.4886687,0,0,0,,,-111140.6250000,0
XCME.ZN.SEP25,110.9531250,110.9687500,INVALID,F,,,,,-1,0,-111140.6250000,110.9609375,-110960.9375000,-111140.6250000,0
XCME.ZN,INVALID,INVALID,INVALID,N,,,,,0,0,0,,,-111140.6250000,0
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.WY5.30JUL25.111:25.C,.0625000,.0781250,111.2500000,C,.0521919,591.3953422,658.6729841,625.4111421,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.111:5.C,.0156250,.0312500,111.5000000,C,.0140843,551.0139023,668.2916213,613.9397696,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.110.C,.9531250,.9843750,110,C,.9626150,,941.6209752,809.3860842,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.112:5.P,1.5312500,1.5625000,112.5000000,P,1.5391196,,1103.7644513,993.0200992,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.111:5.P,.5468750,.5781250,111.5000000,P,.5531470,470.0337604,717.5142712,613.9396854,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.111.C,.1406250,.1718750,111,C,.1397920,612.0293288,666.8463130,639.4420942,0,0,0,,,-111140.6250000,0
XCME.WY5.30JUL25.113.P,2.0312500,2.0468750,113,P,2.0390931,,1399.0015373,1266.2243909,0,0,0,,,-111140.6250000,0
