Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.WY5.30JUL25.111:25.C,.1562500,.1718750,111.2500000,C,.1295446,655.5889087,714.8282539,685.2125248,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111:5.C,.0625000,.0781250,111.5000000,C,.0442283,635.3073657,707.8803406,671.9976508,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110.C,1.2031250,1.2343750,110,C,1.2146371,,1175.5324236,990.6978630,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:5.P,1.2812500,1.2968750,112.5000000,P,1.2856063,,1312.7246411,1161.4355089,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111:5.P,.3437500,.3750000,111.5000000,P,.3297904,614.6374498,758.6945785,688.1636327,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111.C,.2812500,.3125000,111,C,.2791898,568.1931279,702.8058203,636.4298140,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.113.P,1.7812500,1.7968750,113,P,1.7855715,,1437.2195536,1340.6644294,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112.P,.7812500,.8125000,112,P,.7874787,,902.8155282,783.9258280,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111:25.P,.1875000,.2031250,111.2500000,P,.1651071,639.2329262,698.4812837,668.8613371,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112.C,.0069999,.0156250,112,C,.0019162,666.5937508,788.6881408,734.1681796,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:5.C,.7031250,.7343750,110.5000000,C,.7190899,,776.5012939,636.2437964,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:25.C,INVALID,.0069999,112.2500000,C,.0002348,,842.4919601,753.1857947,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111:75.P,.5468750,.5781250,111.7500000,P,.5459146,548.0136267,794.6257752,687.4594658,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:5.P,.0069999,.0156250,110.5000000,P,.0046547,616.4823371,731.6803833,680.1036780,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111:75.C,.0156250,.0312500,111.7500000,C,.0103547,592.4931692,718.9761772,660.3299285,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:75.P,1.5312500,1.5468750,112.7500000,P,1.5355773,,1506.6481768,1340.1013723,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:75.P,.0156250,.0468750,110.7500000,P,.0193152,531.0048367,748.3429623,650.6471503,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:25.P,INVALID,.0069999,110.2500000,P,.0008111,,797.7096404,713.7488126,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.113.C,INVALID,.0069999,113,C,.0000090,,1328.8775409,1202.5372787,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110.P,INVALID,.0069999,110,P,.0001996,,964.0277880,866.2201833,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:25.P,1.0312500,1.0625000,112.2500000,P,1.0357973,,1112.9423011,977.6205268,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:25.C,.9531250,.9843750,110.2500000,C,.9652486,,983.1939472,820.8944268,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:75.C,INVALID,.0069999,112.7500000,C,.0000148,,1170.3219818,1055.5840047,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.110:75.C,.4843750,.5000000,110.7500000,C,.4837523,567.7177016,679.0481026,626.5067446,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.112:5.C,INVALID,.0069999,112.5000000,C,.0000438,,1008.2447586,905.8827278,0,0,0,,,-222531.2500000,0
XCME.WY5.30JUL25.111.P,.0781250,.0937500,111,P,.0647522,617.8126162,684.6360456,651.4356532,0,0,0,,,-222531.2500000,0
XCME.ZN.SEP25,111.2031250,111.2187500,INVALID,F,,,,,-2,0,-222531.2500000,111.2109375,-222421.8750000,-222531.2500000,0
XCME.ZN,INVALID,INVALID,INVALID,N,,,,,0,0,0,,,-222531.2500000,0
