Key,STRIKE,BID,ASK,ADJTHEOR,ITYPE,BloombergKey
Type,,,,,,
XCME.ZN.SEP25,,111.765625,111.78125,,F,TYU5 Comdty
XCME.ZT.SEP25,,103.8125,103.81640625,,F,TUU5 Comdty
XCME.ZF.SEP25,,108.6875,108.6953125,,F,FVU5 Comdty
XCME.ZB.SEP25,,114.96875,115.0,,F,USU5 Comdty
XCME.GY3.19AUG25.113:5.P,113.5,1.734375,1.765625,1.74068874820601,P,TJPQ25P3 113.5 Comdty
XCME.GY3.19AUG25.113:75.P,113.75,1.96875,2.0,1.984375,P,TJPQ25P3 113.75 Comdty
XCME.GY3.19AUG25.114.P,114.0,2.21875,2.25,2.234375,P,TJPQ25P3 114 Comdty
XCME.WY3.20AUG25.110.C,110.0,1.765625,1.796875,1.76666190232703,C,TYWQ25C3 110 Comdty
XCME.WY3.20AUG25.110:25.C,110.25,1.515625,1.546875,1.52719521774808,C,TYWQ25C3 110.25 Comdty
XCME.WY3.20AUG25.110:5.C,110.5,1.28125,1.3125,1.29118108740661,C,TYWQ25C3 110.5 Comdty
XCME.WY3.20AUG25.110:75.C,110.75,1.046875,1.078125,1.06215810596731,C,TYWQ25C3 110.75 Comdty
XCME.WY3.20AUG25.111.C,111.0,0.828125,0.859375,0.845732354872808,C,TYWQ25C3 111 Comdty
XCME.WY3.20AUG25.111:25.C,111.25,0.640625,0.671875,0.648026479333229,C,TYWQ25C3 111.25 Comdty
XCME.WY3.20AUG25.111:5.C,111.5,0.46875,0.5,0.475574729493914,C,TYWQ25C3 111.5 Comdty
XCME.WY3.20AUG25.111:75.C,111.75,0.328125,0.359375,0.333419627533317,C,TYWQ25C3 111.75 Comdty
XCME.WY3.20AUG25.112.C,112.0,0.21875,0.25,0.224146203692442,C,TYWQ25C3 112 Comdty
XCME.WY3.20AUG25.112:25.C,112.25,0.140625,0.171875,0.145093053604498,C,TYWQ25C3 112.25 Comdty
XCME.WY3.20AUG25.112:5.C,112.5,0.09375,0.109375,0.0917998820205668,C,TYWQ25C3 112.5 Comdty
XCME.WY3.20AUG25.112:75.C,112.75,0.046875,0.078125,0.0577195757822153,C,TYWQ25C3 112.75 Comdty
XCME.WY3.20AUG25.113.C,113.0,0.03125,0.046875,0.0367299252173865,C,TYWQ25C3 113 Comdty
XCME.WY3.20AUG25.113:25.C,113.25,0.015625,0.03125,0.0242707424991835,C,TYWQ25C3 113.25 Comdty
XCME.WY3.20AUG25.113:5.C,113.5,0.015625,0.03125,0.0167790982291223,C,TYWQ25C3 113.5 Comdty
XCME.WY3.20AUG25.113:75.C,113.75,0.007,0.03125,0.0123728679620001,C,TYWQ25C3 113.75 Comdty
XCME.WY3.20AUG25.114.C,114.0,0.007,0.015625,0.00998264581585318,C,TYWQ25C3 114 Comdty
XCME.WY3.20AUG25.110.P,110.0,0.007,0.015625,0.0108330122108384,P,TYWQ25P3 110 Comdty
