Key,BID,ASK,STRIKE,ITYPE,ADJTHEOR,IVBID,IVASK,IVAVERAGE,POS.POSITION,POS.STARTOFDAYPOS,POS.PREMIUM,POS.PRICE,POS.MARKETVALUE,UTOTAL.PREMIUM,UTOTAL.YESTERDAYPL
Type,VAR_PRICE,VAR_PRICE,VAR_PRICE,VAR_STRING,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_INT32,VAR_INT32,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE,VAR_DOUBLE
XCME.ZN.SEP25,110.7656250,110.7812500,INVALID,F,,,,,1000,1000,110719000,110.7734375,110773437.5000000,110725927,0
XCME.WY3.16JUL25.111.C,.2187500,.2343750,111,C,,512.9135056,538.8116413,525.7917617,0,0,0,,,110725927,0
XCME.ZN3.18JUL25.111:25.C,.1718750,.1875000,111.2500000,C,,501.0354239,525.7081023,513.4111751,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:75.C,.3281250,.3437500,110.7500000,C,,507.8428482,532.9458963,520.3943722,0,0,0,,,110725927,0
XCME.WY3.16JUL25.111.P,.4375000,.4687500,111,P,,499.7574415,551.8087232,525.7917617,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:5.P,.2031250,.2187500,110.5000000,P,,516.2628375,542.7642089,529.5316721,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:25.P,.1250000,.1406250,110.2500000,P,,515.6244128,546.2566068,531.0284640,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:75.P,.3125000,.3281250,110.7500000,P,,495.2913241,545.4974204,520.3943722,0,0,0,,,110725927,0
XCME.ZN2.11JUL25.110:75.C,.2031250,.2187500,110.7500000,C,,423.6424707,457.9608355,440.8021274,0,0,0,,,110725927,0
XCME.WY3.16JUL25.111:25.C,.1406250,.1562500,111.2500000,C,,521.5378288,551.0442776,536.3567200,0,0,0,,,110725927,0
XCME.ZN3.18JUL25.110:5.C,.5000000,.5312500,110.5000000,C,,481.7993146,526.9084631,504.5123498,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:5.C,.4687500,.4843750,110.5000000,C,,503.0814935,529.5316721,516.2628375,0,0,0,,,110725927,0
XCME.ZN3.18JUL25.110:75.C,.3750000,.3906250,110.7500000,C,,504.4956761,526.0990451,515.2974062,0,0,0,,,110725927,0
XCME.ZN3.18JUL25.110:25.P,.1562500,.1718750,110.2500000,P,,494.5880319,519.8185675,507.1968027,0,0,0,,,110725927,0
XCME.WY2.09JUL25.110:5.P,.0312500,.0468750,110.5000000,P,,451.9805491,533.2109527,493.7548539,-100,-100,-3900,.0390625,-3906.2500000,110725927,0
XCME.ZN2.11JUL25.110:75.P,.1875000,.2031250,110.7500000,P,,433.0952467,467.4125979,450.2543669,0,0,0,,,110725927,0
XCME.ZN2.11JUL25.111.C,.0937500,.1250000,111,C,,409.6972002,485.6568669,448.1772268,0,0,0,,,110725927,0
XCME.ZN2.11JUL25.111:25.P,.5156250,.5468750,111.2500000,P,,404.0023643,509.4186951,459.1360660,0,0,0,,,110725927,0
XCME.VY2.14JUL25.111:25.C,.0625000,.0781250,111.2500000,C,,439.7338399,482.0652837,461.2101907,0,0,0,,,110725927,0
XCME.WY3.16JUL25.111:25.P,.6093750,.6406250,111.2500000,P,,506.5732781,565.6128648,536.3567200,0,0,0,,,110725927,0
XCME.WY3.16JUL25.110:25.C,.6406250,.6562500,110.2500000,C,,500.1968363,531.0284640,515.6244128,0,0,0,,,110725927,0
XCME.WY2.09JUL25.111.P,.2656250,.2812500,111,P,,346.7384655,508.3362729,432.3624226,0,0,0,,,110725927,0
