SYMBOL,PX_LAST,PX_SETTLE,EXPIRE_DT,MONEYNESS
VBYN25C2 112.250 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 112.000 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 111.750 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 111.500 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 111.250 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 111.000 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 110.750 Comdty,0.015625,0.015625,7/14/2025,OTM
VBYN25P2 110.750 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 110.500 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 110.250 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 110.000 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 109.750 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 109.500 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25P2 109.250 Comdty,0.007,0.007,7/14/2025,OTM
VBYN25C2 109.250 Comdty,1.515625,1.515625,7/14/2025,ITM
VBYN25C2 109.500 Comdty,1.265625,1.265625,7/14/2025,ITM
VBYN25C2 109.750 Comdty,1.015625,1.015625,7/14/2025,ITM
VBYN25C2 110.000 Comdty,0.765625,0.765625,7/14/2025,ITM
VBYN25C2 110.250 Comdty,0.515625,0.515625,7/14/2025,ITM
VBYN25C2 110.500 Comdty,0.265625,0.265625,7/14/2025,ITM
VBYN25C2 110.750 Comdty,0.015625,0.015625,7/14/2025,ITM
VBYN25P2 110.750 Comdty,0.007,0.007,7/14/2025,ITM
VBYN25P2 111.000 Comdty,0.234375,0.234375,7/14/2025,ITM
VBYN25P2 111.250 Comdty,0.484375,0.484375,7/14/2025,ITM
VBYN25P2 111.500 Comdty,0.734375,0.734375,7/14/2025,ITM
VBYN25P2 111.750 Comdty,0.984375,0.984375,7/14/2025,ITM
VBYN25P2 112.000 Comdty,1.234375,1.234375,7/14/2025,ITM
VBYN25P2 112.250 Comdty,1.484375,1.484375,7/14/2025,ITM
