SYMBOL,PX_LAST,PX_SETTLE,EXPIRE_DT,MONEYNESS,,
VBYN25C2 112.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 112.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 111.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 111.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 111.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 111.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 110.750 Comdty,#N/A Field Not Applicable,0.015625,7/14/2025,OTM,,
VBYN25P2 110.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 110.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 110.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 110.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 109.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 109.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25P2 109.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,OTM,,
VBYN25C2 109.250 Comdty,#N/A Field Not Applicable,1.515625,7/14/2025,ITM,,
VBYN25C2 109.500 Comdty,#N/A Field Not Applicable,1.265625,7/14/2025,ITM,,
VBYN25C2 109.750 Comdty,#N/A Field Not Applicable,1.015625,7/14/2025,ITM,,
VBYN25C2 110.000 Comdty,#N/A Field Not Applicable,0.765625,7/14/2025,ITM,,
VBYN25C2 110.250 Comdty,#N/A Field Not Applicable,0.515625,7/14/2025,ITM,,
VBYN25C2 110.500 Comdty,#N/A Field Not Applicable,0.265625,7/14/2025,ITM,,
VBYN25C2 110.750 Comdty,#N/A Field Not Applicable,0.015625,7/14/2025,ITM,,
VBYN25P2 110.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/14/2025,ITM,,
VBYN25P2 111.000 Comdty,#N/A Field Not Applicable,0.234375,7/14/2025,ITM,,
VBYN25P2 111.250 Comdty,#N/A Field Not Applicable,0.484375,7/14/2025,ITM,,
VBYN25P2 111.500 Comdty,#N/A Field Not Applicable,0.734375,7/14/2025,ITM,,
VBYN25P2 111.750 Comdty,#N/A Field Not Applicable,0.984375,7/14/2025,ITM,,
VBYN25P2 112.000 Comdty,#N/A Field Not Applicable,1.234375,7/14/2025,ITM,,
VBYN25P2 112.250 Comdty,#N/A Field Not Applicable,1.484375,7/14/2025,ITM,,
TJPN25C3 112.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 112.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 111.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 111.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 111.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 111.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 110.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25P3 110.750 Comdty,#N/A Field Not Applicable,0.46875,7/15/2025,OTM,,
TJPN25P3 110.500 Comdty,#N/A Field Not Applicable,0.21875,7/15/2025,OTM,,
TJPN25P3 110.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25P3 110.000 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25P3 109.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25P3 109.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25P3 109.250 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,OTM,,
TJPN25C3 109.250 Comdty,#N/A Field Not Applicable,1.03125,7/15/2025,ITM,,
TJPN25C3 109.500 Comdty,#N/A Field Not Applicable,0.78125,7/15/2025,ITM,,
TJPN25C3 109.750 Comdty,#N/A Field Not Applicable,0.53125,7/15/2025,ITM,,
TJPN25C3 110.000 Comdty,#N/A Field Not Applicable,0.28125,7/15/2025,ITM,,
TJPN25C3 110.250 Comdty,#N/A Field Not Applicable,0.03125,7/15/2025,ITM,,
TJPN25C3 110.500 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,ITM,,
TJPN25C3 110.750 Comdty,#N/A Field Not Applicable,#N/A Field Not Applicable,7/15/2025,ITM,,
TJPN25P3 110.750 Comdty,#N/A Field Not Applicable,0.46875,7/15/2025,ITM,,
TJPN25P3 111.000 Comdty,#N/A Field Not Applicable,0.71875,7/15/2025,ITM,,
TJPN25P3 111.250 Comdty,#N/A Field Not Applicable,0.96875,7/15/2025,ITM,,
TJPN25P3 111.500 Comdty,#N/A Field Not Applicable,1.21875,7/15/2025,ITM,,
TJPN25P3 111.750 Comdty,#N/A Field Not Applicable,1.46875,7/15/2025,ITM,,
TJPN25P3 112.000 Comdty,#N/A Field Not Applicable,1.71875,7/15/2025,ITM,,
TJPN25P3 112.250 Comdty,#N/A Field Not Applicable,1.96875,7/15/2025,ITM,,
TYWN25C3 112.250 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 112.000 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 111.750 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 111.500 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 111.250 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 111.000 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 110.750 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 110.750 Comdty,#N/A Field Not Applicable,0.125,7/16/2025,OTM,,
TYWN25P3 110.500 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 110.250 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 110.000 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 109.750 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 109.500 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25P3 109.250 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,OTM,,
TYWN25C3 109.250 Comdty,#N/A Field Not Applicable,1.375,7/16/2025,ITM,,
TYWN25C3 109.500 Comdty,#N/A Field Not Applicable,1.125,7/16/2025,ITM,,
TYWN25C3 109.750 Comdty,#N/A Field Not Applicable,0.875,7/16/2025,ITM,,
TYWN25C3 110.000 Comdty,#N/A Field Not Applicable,0.625,7/16/2025,ITM,,
TYWN25C3 110.250 Comdty,#N/A Field Not Applicable,0.375,7/16/2025,ITM,,
TYWN25C3 110.500 Comdty,#N/A Field Not Applicable,0.125,7/16/2025,ITM,,
TYWN25C3 110.750 Comdty,#N/A Field Not Applicable,0.0,7/16/2025,ITM,,
TYWN25P3 110.750 Comdty,#N/A Field Not Applicable,0.125,7/16/2025,ITM,,
TYWN25P3 111.000 Comdty,#N/A Field Not Applicable,0.375,7/16/2025,ITM,,
TYWN25P3 111.250 Comdty,#N/A Field Not Applicable,0.625,7/16/2025,ITM,,
TYWN25P3 111.500 Comdty,#N/A Field Not Applicable,0.875,7/16/2025,ITM,,
TYWN25P3 111.750 Comdty,#N/A Field Not Applicable,1.125,7/16/2025,ITM,,
TYWN25P3 112.000 Comdty,#N/A Field Not Applicable,1.375,7/16/2025,ITM,,
TYWN25P3 112.250 Comdty,#N/A Field Not Applicable,1.625,7/16/2025,ITM,,
TJWN25C3 112.250 Comdty,0.007,0.007,7/17/2025,OTM,,
TJWN25C3 112.000 Comdty,0.007,0.007,7/17/2025,OTM,,
