SYMBOL,LAST_PRICE,PX_SETTLE,Expiry Date,Settle Price = Today
TJPN25P5 114.25 Comdty,-2146826238,2.890625,2025-07-29,Y
TJPN25P5 114 Comdty,-2146826238,2.640625,2025-07-29,Y
TJPN25P5 113.75 Comdty,-2146826238,2.390625,2025-07-29,Y
TJPN25P5 113.5 Comdty,-2146826238,2.140625,2025-07-29,Y
TJPN25P5 113.25 Comdty,-2146826238,1.890625,2025-07-29,Y
TJPN25P5 113 Comdty,-2146826238,1.640625,2025-07-29,Y
TJPN25P5 112.75 Comdty,-2146826238,1.390625,2025-07-29,Y
TJPN25P5 112.5 Comdty,-2146826238,1.140625,2025-07-29,Y
TJPN25P5 112.25 Comdty,-2146826238,0.890625,2025-07-29,Y
TJPN25P5 112 Comdty,-2146826238,0.640625,2025-07-29,Y
TJPN25P5 111.75 Comdty,-2146826238,0.390625,2025-07-29,Y
TJPN25P5 111.5 Comdty,-2146826238,0.140625,2025-07-29,Y
TJPN25P5 111.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 111 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 110.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 110.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 110.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 110 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 109.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 109.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 109.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 109 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 108.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25P5 108.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 114.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 114 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 113.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 113.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 113.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 113 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 112.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 112.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 112.25 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 112 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 111.75 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 111.5 Comdty,-2146826238,0.006999999284744263,2025-07-29,Y
TJPN25C5 111.25 Comdty,-2146826238,0.109375,2025-07-29,Y
TJPN25C5 111 Comdty,-2146826238,0.359375,2025-07-29,Y
TJPN25C5 110.75 Comdty,-2146826238,0.609375,2025-07-29,Y
TJPN25C5 110.5 Comdty,-2146826238,0.859375,2025-07-29,Y
TJPN25C5 110.25 Comdty,-2146826238,1.109375,2025-07-29,Y
TJPN25C5 110 Comdty,-2146826238,1.359375,2025-07-29,Y
TJPN25C5 109.75 Comdty,-2146826238,1.609375,2025-07-29,Y
TJPN25C5 109.5 Comdty,-2146826238,1.859375,2025-07-29,Y
TJPN25C5 109.25 Comdty,-2146826238,2.109375,2025-07-29,Y
TJPN25C5 109 Comdty,-2146826238,2.359375,2025-07-29,Y
TJPN25C5 108.75 Comdty,-2146826238,2.609375,2025-07-29,Y
TJPN25C5 108.5 Comdty,-2146826238,2.859375,2025-07-29,Y
TYWN25P5 114.25 COMB Comdty,-2146826238,3.484375,2025-07-30,N
TYWN25P5 114 COMB Comdty,-2146826238,3.234375,2025-07-30,N
TYWN25P5 113.75 COMB Comdty,-2146826238,2.984375,2025-07-30,N
TYWN25P5 113.5 COMB Comdty,-2146826238,2.734375,2025-07-30,N
TYWN25P5 113.25 COMB Comdty,-2146826238,2.484375,2025-07-30,N
TYWN25P5 113 COMB Comdty,-2146826238,2.234375,2025-07-30,N
TYWN25P5 112.75 COMB Comdty,-2146826238,1.984375,2025-07-30,N
TYWN25P5 112.5 COMB Comdty,-2146826238,1.734375,2025-07-30,N
TYWN25P5 112.25 COMB Comdty,-2146826238,1.484375,2025-07-30,N
TYWN25P5 112 COMB Comdty,-2146826238,1.234375,2025-07-30,N
TYWN25P5 111.75 COMB Comdty,-2146826238,0.984375,2025-07-30,N
TYWN25P5 111.5 COMB Comdty,-2146826238,0.75,2025-07-30,N
TYWN25P5 111.25 COMB Comdty,-2146826238,0.515625,2025-07-30,N
TYWN25P5 111 COMB Comdty,-2146826238,0.328125,2025-07-30,N
TYWN25P5 110.75 COMB Comdty,-2146826238,0.1875,2025-07-30,N
TYWN25P5 110.5 COMB Comdty,-2146826238,0.09375,2025-07-30,N
TYWN25P5 110.25 COMB Comdty,-2146826238,0.03125,2025-07-30,N
TYWN25P5 110 COMB Comdty,-2146826238,0.015625,2025-07-30,N
TYWN25P5 109.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25P5 109.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25P5 109.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25P5 109 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25P5 108.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25P5 108.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 114.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 114 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 113.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 113.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 113.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 113 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 112.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 112.5 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 112.25 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 112 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 111.75 COMB Comdty,-2146826238,0.0010000001639127731,2025-07-30,N
TYWN25C5 111.5 COMB Comdty,-2146826238,0.015625,2025-07-30,N
TYWN25C5 111.25 COMB Comdty,-2146826238,0.03125,2025-07-30,N
TYWN25C5 111 COMB Comdty,-2146826238,0.09375,2025-07-30,N
TYWN25C5 110.75 COMB Comdty,-2146826238,0.203125,2025-07-30,N
TYWN25C5 110.5 COMB Comdty,-2146826238,0.359375,2025-07-30,N
TYWN25C5 110.25 COMB Comdty,-2146826238,0.546875,2025-07-30,N
TYWN25C5 110 COMB Comdty,-2146826238,0.78125,2025-07-30,N
TYWN25C5 109.75 COMB Comdty,-2146826238,1.015625,2025-07-30,N
TYWN25C5 109.5 COMB Comdty,-2146826238,1.265625,2025-07-30,N
