tradeId,instrumentName,marketTradeTime,buySell,quantity,price
TRD20250717_009,XCMEOCADPS20250721N0VY2/109.50,2025-07-16 19:25:02.875,S,20,0.702
SOD20250717_001,XCMEOPADPS20250721N0VY2/112.00,2025-07-17 00:00:00.000,S,10,0.703
SOD20250717_002,XCMEFFDPSX20250918U0TY,2025-07-17 00:00:00.000,B,50,111.095
SOD20250717_003,XCMEOCADPS20250721N0VY2/109.50,2025-07-17 00:00:00.000,S,10,1.917
SOD20250717_004,XCMEOPADPS20250718N0ZN2/111.00,2025-07-17 00:00:00.000,S,10,2.819
SOD20250717_005,XCMEOPADPS20250723N0WY2/109.00,2025-07-17 00:00:00.000,S,20,2.986
TRD20250717_006,XCMEOCADPS20250721N0VY2/109.50,2025-07-17 06:25:06.729,B,5,1.682
TRD20250717_003,XCMEOPADPS20250718N0ZN2/111.00,2025-07-17 08:16:23.977,S,10,3.555
TRD20250717_011,XCMEOPADPS20250723N0WY2/109.00,2025-07-17 08:24:47.794,S,2,2.382
TRD20250717_005,XCMEOCADPS20250718N0ZN2/110.50,2025-07-17 08:40:49.665,S,50,0.708
TRD20250717_010,XCMEFFDPSX20250918U0TY,2025-07-17 09:23:46.588,S,5,110.863
TRD20250717_001,XCMEOCADPS20250723N0WY2/111.25,2025-07-17 09:58:09.210,S,10,2.469
TRD20250717_007,XCMEOPADPS20250721N0VY2/112.00,2025-07-17 11:30:31.024,B,2,3.755
TRD20250717_004,XCMEOCADPS20250721N0VY2/109.50,2025-07-17 14:04:07.877,B,5,3.944
TRD20250717_002,XCMEOPADPS20250718N0ZN2/111.00,2025-07-17 14:58:00.959,S,10,2.302
TRD20250717_008,XCMEOCADPS20250718N0ZN2/110.50,2025-07-17 15:28:55.571,S,2,1.7
