symbol,vtexp
XCME.ZN.N.G.17JUL25,0.166667
XCME.ZN.N.G.18JUL25,1.270833
XCME.ZN.N.G.21JUL25,2.166667
XCME.ZN.N.G.22JUL25,3.165972
XCME.ZN.N.G.23JUL25,4.165972
XCME.ZN.N.G.24JUL25,5.165972
XCME.ZN.N.G.25JUL25,6.270139
XCME.ZN.N.G.28JUL25,7.165278
XCME.ZN.N.G.29JUL25,8.165278
XCME.ZN.N.G.30JUL25,9.165278
XCME.ZN.N.G.09JUL25,0.027778
XCME.ZN.N.G.11JUL25,0.055556
XCME.ZN.N.G.14JUL25,0.138889
XCME.ZN.N.G.16JUL25,0.194444
XCME.VY.N.G.09JUL25,0.027778
XCME.VY.N.G.11JUL25,0.055556
XCME.VY.N.G.14JUL25,0.138889
XCME.VY.N.G.16JUL25,0.194444
XCME.WY.N.G.09JUL25,0.027778
XCME.WY.N.G.11JUL25,0.055556
XCME.WY.N.G.14JUL25,0.138889
XCME.WY.N.G.16JUL25,0.194444
