tradeId,instrumentName,marketTradeTime,buySell,quantity,price
1,XCMEFFDPSX20250919U0ZN,2025-07-21 10:30:32.046000,S,1.0,111.25
2,XCMEFFDPSX20250919U0ZN,2025-07-21 13:28:32.352000,B,1.0,111.21875
3,XCMEFFDPSX20250919U0ZN,2025-07-21 14:55:28.556000,B,1.0,111.15625
4,XCMEFFDPSX20250919U0ZN,2025-07-21 15:00:06.111000,B,1.0,111.109375
5,XCMEFFDPSX20250919U0ZN,2025-07-21 17:20:36.986000,S,1.0,111.140625
6,XCMEFFDPSX20250919U0ZN,2025-07-22 07:44:35.772000,S,1.0,111.171875
7,XCMEFFDPSX20250919U0ZN,2025-07-22 07:51:40.473000,S,1.0,111.265625
8,XCMEFFDPSX20250919U0ZN,2025-07-22 08:03:00.317000,B,1.0,111.234375
9,XCMEFFDPSX20250919U0ZN,2025-07-22 09:02:42.758000,S,1.0,111.359375
10,XCMEFFDPSX20250919U0ZN,2025-07-22 10:10:29.491000,S,1.0,111.421875
11,XCMEFFDPSX20250919U0ZN,2025-07-22 10:21:48.528000,B,1.0,111.390625
12,XCMEFFDPSX20250919U0ZN,2025-07-22 14:55:28.506000,B,1.0,111.375
13,XCMEFFDPSX20250919U0ZN,2025-07-22 14:58:56.431000,B,1.0,111.359375
14,XCMEFFDPSX20250919U0ZN,2025-07-22 19:23:08.890000,S,1.0,111.265625
15,XCMEFFDPSX20250919U0ZN,2025-07-22 20:00:16.944000,S,1.0,111.265625
16,XCMEFFDPSX20250919U0ZN,2025-07-23 07:34:50.300000,B,1.0,111.1875
17,XCMEFFDPSX20250919U0ZN,2025-07-23 09:21:45.369000,B,1.0,111.125
18,XCMEFFDPSX20250919U0ZN,2025-07-23 09:31:28.160000,S,1.0,111.15625
19,XCMEFFDPSX20250919U0ZN,2025-07-23 10:37:10.634000,B,1.0,111.109375
20,XCMEFFDPSX20250919U0ZN,2025-07-23 10:56:11.017000,B,1.0,111.0625
21,XCMEFFDPSX20250919U0ZN,2025-07-23 11:07:17.353000,B,1.0,111.0
22,XCMEFFDPSX20250919U0ZN,2025-07-23 11:10:42.094000,S,1.0,111.046875
23,XCMEFFDPSX20250919U0ZN,2025-07-23 12:04:52.216000,S,1.0,111.0625
24,XCMEFFDPSX20250919U0ZN,2025-07-23 13:00:24.927000,S,1.0,111.0625
25,XCMEFFDPSX20250919U0ZN,2025-07-23 15:08:16.270000,S,1.0,111.046875
26,XCMEFFDPSX20250919U0ZN,2025-07-23 15:31:44.280000,S,1.0,111.046875
27,XCMEFFDPSX20250919U0ZN,2025-07-23 17:46:35.153000,B,1.0,111.015625
28,XCMEFFDPSX20250919U0ZN,2025-07-24 02:44:09.023000,B,1.0,110.90625
29,XCMEFFDPSX20250919U0ZN,2025-07-24 07:16:39.053000,B,1.0,110.859375
30,XCMEFFDPSX20250919U0ZN,2025-07-24 07:18:56.430000,S,1.0,110.875
31,XCMEFFDPSX20250919U0ZN,2025-07-24 07:21:00.462000,B,1.0,110.828125
32,XCMEFFDPSX20250919U0ZN,2025-07-24 07:21:42.360000,S,1.0,110.84375
33,XCMEFFDPSX20250919U0ZN,2025-07-24 07:24:17.547000,B,1.0,110.8125
34,XCMEFFDPSX20250919U0ZN,2025-07-24 07:26:04.254000,S,1.0,110.84375
35,XCMEFFDPSX20250919U0ZN,2025-07-24 07:35:23.328000,B,1.0,110.75
36,XCMEFFDPSX20250919U0ZN,2025-07-24 07:55:11.020000,B,1.0,110.6875
37,XCMEFFDPSX20250919U0ZN,2025-07-24 08:04:54.748000,B,1.0,110.640625
38,XCMEFFDPSX20250919U0ZN,2025-07-24 08:09:11.083000,S,1.0,110.671875
39,XCMEFFDPSX20250919U0ZN,2025-07-24 08:30:33.927000,B,1.0,110.625
40,XCMEFFDPSX20250919U0ZN,2025-07-24 08:32:04.646000,S,1.0,110.671875
41,XCMEFFDPSX20250919U0ZN,2025-07-24 08:38:05.817000,S,1.0,110.6875
42,XCMEFFDPSX20250919U0ZN,2025-07-24 08:39:34.808000,S,1.0,110.703125
43,XCMEFFDPSX20250919U0ZN,2025-07-24 11:26:59.326000,S,1.0,110.859375
44,XCMEFFDPSX20250919U0ZN,2025-07-24 11:28:50.270000,B,1.0,110.828125
45,XCMEFFDPSX20250919U0ZN,2025-07-24 12:20:28.253000,S,1.0,110.90625
46,XCMEFFDPSX20250919U0ZN,2025-07-24 13:08:35.561000,B,1.0,110.875
47,XCMEFFDPSX20250919U0ZN,2025-07-24 15:01:09.091000,S,1.0,110.875
48,XCMEFFDPSX20250919U0ZN,2025-07-25 03:12:34.669000,B,1.0,110.78125
49,XCMEFFDPSX20250919U0ZN,2025-07-25 09:13:43.570000,S,1.0,110.828125
50,XCMEFFDPSX20250919U0ZN,2025-07-25 09:21:23.172000,B,1.0,110.8125
51,XCMEFFDPSX20250919U0ZN,2025-07-25 12:32:02.303000,S,1.0,110.984375
52,XCMEFFDPSX20250919U0ZN,2025-07-25 15:45:53.125000,B,1.0,110.96875
53,XCMEFFDPSX20250919U0ZN,2025-07-27 17:02:10.883000,S,1.0,110.90625
54,XCMEFFDPSX20250919U0ZN,2025-07-27 17:05:13.868000,B,1.0,110.875
55,XCMEFFDPSX20250919U0ZN,2025-07-27 20:00:01.916000,S,1.0,110.890625
56,XCMEFFDPSX20250919U0ZN,2025-07-28 07:14:52.982000,B,1.0,110.859375
57,XCMEFFDPSX20250919U0ZN,2025-07-28 08:40:16.061000,B,1.0,110.796875
58,XCMEFFDPSX20250919U0ZN,2025-07-28 08:43:20.883000,S,1.0,110.828125
59,XCMEFFDPSX20250919U0ZN,2025-07-28 10:25:13.857000,B,1.0,110.78125
60,XCMEFFDPSX20250919U0ZN,2025-07-28 10:34:07.057000,S,1.0,110.796875
61,XCMEFFDPSX20250919U0ZN,2025-07-28 12:13:53.592000,B,1.0,110.796875
62,XCMEFFDPSX20250919U0ZN,2025-07-28 12:18:31.118000,S,1.0,110.8125
63,XCMEFFDPSX20250919U0ZN,2025-07-28 13:45:41.443000,B,1.0,110.78125
64,XCMEFFDPSX20250919U0ZN,2025-07-28 14:01:32.317000,S,1.0,110.796875
65,XCMEFFDPSX20250919U0ZN,2025-07-28 15:00:00.006000,S,1.0,110.828125
66,XCMEFFDPSX20250919U0ZN,2025-07-28 15:06:11.667000,B,1.0,110.8125
67,XCMEFFDPSX20250919U0ZN,2025-07-29 07:00:41.800000,S,1.0,110.984375
68,XCMEFFDPSX20250919U0ZN,2025-07-29 07:47:42.747000,B,1.0,110.953125
69,XCMEFFDPSX20250919U0ZN,2025-07-29 08:07:27.043000,B,1.0,110.953125
70,XCMEFFDPSX20250919U0ZN,2025-07-29 08:14:53.766000,B,1.0,110.90625
71,XCMEFFDPSX20250919U0ZN,2025-07-29 08:27:57.743000,S,1.0,110.9375
72,XCMEFFDPSX20250919U0ZN,2025-07-29 08:40:15.349000,S,1.0,111.0
73,XCMEFFDPSX20250919U0ZN,2025-07-29 09:03:11.882000,S,1.0,111.03125
74,XCMEFFDPSX20250919U0ZN,2025-07-29 09:04:35.911000,B,1.0,111.015625
75,XCMEFFDPSX20250919U0ZN,2025-07-29 09:16:03.811000,S,1.0,111.0625
76,XCMEFFDPSX20250919U0ZN,2025-07-29 09:20:21.641000,S,1.0,111.09375
77,XCMEFFDPSX20250919U0ZN,2025-07-29 09:35:01.884000,S,1.0,111.140625
78,XCMEFFDPSX20250919U0ZN,2025-07-29 10:00:28.480000,B,1.0,111.125
79,XCMEFFDPSX20250919U0ZN,2025-07-29 10:49:01.842000,B,1.0,111.140625
80,XCMEFFDPSX20250919U0ZN,2025-07-29 11:35:30.963000,S,1.0,111.21875
81,XCMEFFDPSX20250919U0ZN,2025-07-29 12:02:28.232000,S,1.0,111.34375
82,XCMEFFDPSX20250919U0ZN,2025-07-29 12:03:10.033000,B,1.0,111.3125
83,XCMEFFDPSX20250919U0ZN,2025-07-29 12:06:38.907000,S,1.0,111.328125
84,XCMEFFDPSX20250919U0ZN,2025-07-29 12:16:23.942000,S,1.0,111.359375
85,XCMEFFDPSX20250919U0ZN,2025-07-29 12:17:09.768000,S,1.0,111.375
86,XCMEFFDPSX20250919U0ZN,2025-07-29 12:21:42.084000,B,1.0,111.34375
87,XCMEFFDPSX20250919U0ZN,2025-07-29 12:25:35.184000,B,1.0,111.328125
