tradeId,instrumentName,marketTradeTime,buySell,quantity,price
broker_50,XCMEFFDPSX20250919U0ZN,2025-08-01 03:31:00.000," ""S""",1.0,110.921875
broker_3,XCMEFFDPSX20250919U0ZN,2025-08-01 03:59:00.000," ""S""",1.0,110.953125
broker_277,XCMEFFDPSX20250919U0ZN,2025-08-01 07:30:00.000," ""S""",1.0,111.1875
broker_233,XCMEFFDPSX20250919U0ZN,2025-08-01 07:31:00.000," ""S""",2.0,111.359375
broker_159,XCMEFFDPSX20250919U0ZN,2025-08-01 07:32:00.000," ""S""",2.0,111.4375
broker_92,XCMEFFDPSX20250919U0ZN,2025-08-01 07:33:00.000," ""S""",1.0,111.5
broker_34,XCMEFFDPSX20250919U0ZN,2025-08-01 07:34:00.000," ""S""",1.0,111.515625
broker_63,XCMEFFDPSX20250919U0ZN,2025-08-01 07:34:00.000," ""S""",1.0,111.578125
broker_97,XCMEFFDPSX20250919U0ZN,2025-08-01 07:34:00.000," ""S""",1.0,111.53125
broker_213,XCMEFFDPSX20250919U0ZN,2025-08-01 07:34:00.000," ""S""",1.0,111.546875
broker_201,XCMEFFDPSX20250919U0ZN,2025-08-01 07:34:00.000," ""S""",1.0,111.5625
broker_143,XCMEFFDPSX20250919U0ZN,2025-08-01 07:35:00.000," ""S""",1.0,111.59375
broker_162,XCMEFFDPSX20250919U0ZN,2025-08-01 07:35:00.000," ""S""",1.0,111.625
broker_65,XCMEFFDPSX20250919U0ZN,2025-08-01 07:35:00.000," ""S""",1.0,111.609375
broker_105,XCMEFFDPSX20250919U0ZN,2025-08-01 07:35:00.000," ""S""",1.0,111.609375
broker_180,XCMEFFDPSX20250919U0ZN,2025-08-01 07:35:00.000," ""S""",1.0,111.640625
broker_57,XCMEFFDPSX20250919U0ZN,2025-08-01 07:37:00.000," ""S""",2.0,111.65625
broker_115,XCMEFFDPSX20250919U0ZN,2025-08-01 07:37:00.000," ""S""",1.0,111.65625
broker_27,XCMEFFDPSX20250919U0ZN,2025-08-01 07:37:00.000," ""S""",1.0,111.671875
broker_75,XCMEFFDPSX20250919U0ZN,2025-08-01 07:38:00.000," ""S""",1.0,111.6875
broker_66,XCMEFFDPSX20250919U0ZN,2025-08-01 07:39:00.000," ""B""",1.0,111.609375
broker_172,XCMEFFDPSX20250919U0ZN,2025-08-01 07:39:00.000," ""B""",1.0,111.625
broker_199,XCMEFFDPSX20250919U0ZN,2025-08-01 07:39:00.000," ""B""",1.0,111.640625
broker_274,XCMEFFDPSX20250919U0ZN,2025-08-01 07:42:00.000," ""B""",1.0,111.59375
broker_29,XCMEFFDPSX20250919U0ZN,2025-08-01 07:44:00.000," ""S""",1.0,111.671875
broker_22,XCMEFFDPSX20250919U0ZN,2025-08-01 07:45:00.000," ""S""",1.0,111.6875
broker_24,XCMEFFDPSX20250919U0ZN,2025-08-01 07:45:00.000," ""S""",3.0,111.703125
broker_128,XCMEFFDPSX20250919U0ZN,2025-08-01 07:46:00.000," ""S""",1.0,111.71875
broker_243,XCMEFFDPSX20250919U0ZN,2025-08-01 07:46:00.000," ""S""",2.0,111.703125
broker_112,XCMEFFDPSX20250919U0ZN,2025-08-01 07:48:00.000," ""S""",1.0,111.734375
broker_184,XCMEFFDPSX20250919U0ZN,2025-08-01 07:49:00.000," ""S""",1.0,111.75
broker_245,XCMEFFDPSX20250919U0ZN,2025-08-01 07:49:00.000," ""S""",4.0,111.765625
broker_151,XCMEFFDPSX20250919U0ZN,2025-08-01 07:49:00.000," ""S""",1.0,111.75
broker_196,XCMEFFDPSX20250919U0ZN,2025-08-01 07:52:00.000," ""S""",1.0,111.78125
broker_218,XCMEFFDPSX20250919U0ZN,2025-08-01 07:53:00.000," ""S""",1.0,111.796875
broker_217,XCMEFFDPSX20250919U0ZN,2025-08-01 07:53:00.000," ""S""",1.0,111.796875
broker_134,XCMEFFDPSX20250919U0ZN,2025-08-01 07:55:00.000," ""S""",1.0,111.8125
broker_190,XCMEFFDPSX20250919U0ZN,2025-08-01 07:55:00.000," ""S""",1.0,111.8125
broker_164,XCMEFFDPSX20250919U0ZN,2025-08-01 07:56:00.000," ""B""",1.0,111.78125
broker_82,XCMEFFDPSX20250919U0ZN,2025-08-01 07:57:00.000," ""S""",5.0,111.828125
broker_200,XCMEFFDPSX20250919U0ZN,2025-08-01 07:59:00.000," ""B""",1.0,111.796875
broker_35,XCMEFFDPSX20250919U0ZN,2025-08-01 08:00:00.000," ""S""",2.0,111.84375
broker_170,XCMEFFDPSX20250919U0ZN,2025-08-01 08:00:00.000," ""S""",1.0,111.859375
broker_171,XCMEFFDPSX20250919U0ZN,2025-08-01 08:00:00.000," ""S""",1.0,111.859375
broker_83,XCMEFFDPSX20250919U0ZN,2025-08-01 08:01:00.000," ""S""",1.0,111.875
broker_56,XCMEFFDPSX20250919U0ZN,2025-08-01 08:01:00.000," ""S""",1.0,111.875
broker_90,XCMEFFDPSX20250919U0ZN,2025-08-01 08:03:00.000," ""B""",1.0,111.828125
broker_37,XCMEFFDPSX20250919U0ZN,2025-08-01 08:06:00.000," ""S""",1.0,111.875
broker_64,XCMEFFDPSX20250919U0ZN,2025-08-01 08:06:00.000," ""S""",1.0,111.875
broker_102,XCMEFFDPSX20250919U0ZN,2025-08-01 08:06:00.000," ""S""",1.0,111.890625
broker_80,XCMEFFDPSX20250919U0ZN,2025-08-01 08:06:00.000," ""S""",2.0,111.890625
broker_104,XCMEFFDPSX20250919U0ZN,2025-08-01 08:13:00.000," ""S""",1.0,111.90625
broker_234,XCMEFFDPSX20250919U0ZN,2025-08-01 08:13:00.000," ""S""",1.0,111.90625
broker_53,XCMEFFDPSX20250919U0ZN,2025-08-01 08:15:00.000," ""B""",1.0,111.84375
broker_238,XCMEFFDPSX20250919U0ZN,2025-08-01 08:15:00.000," ""B""",1.0,111.859375
broker_197,XCMEFFDPSX20250919U0ZN,2025-08-01 08:17:00.000," ""B""",1.0,111.84375
broker_198,XCMEFFDPSX20250919U0ZN,2025-08-01 08:18:00.000," ""B""",2.0,111.84375
broker_91,XCMEFFDPSX20250919U0ZN,2025-08-01 08:25:00.000," ""S""",2.0,111.90625
broker_271,XCMEFFDPSX20250919U0ZN,2025-08-01 08:28:00.000," ""S""",1.0,111.921875
broker_67,XCMEFFDPSX20250919U0ZN,2025-08-01 08:28:00.000," ""S""",1.0,111.921875
broker_276,XCMEFFDPSX20250919U0ZN,2025-08-01 08:30:00.000," ""S""",2.0,111.9375
broker_36,XCMEFFDPSX20250919U0ZN,2025-08-01 08:32:00.000," ""S""",1.0,111.96875
broker_153,XCMEFFDPSX20250919U0ZN,2025-08-01 08:32:00.000," ""S""",1.0,111.96875
broker_108,XCMEFFDPSX20250919U0ZN,2025-08-01 08:34:00.000," ""S""",5.0,112.0
broker_183,XCMEFFDPSX20250919U0ZN,2025-08-01 08:35:00.000," ""S""",2.0,112.015625
broker_254,XCMEFFDPSX20250919U0ZN,2025-08-01 08:36:00.000," ""S""",2.0,112.015625
broker_41,XCMEFFDPSX20250919U0ZN,2025-08-01 08:38:00.000," ""B""",2.0,111.96875
broker_207,XCMEFFDPSX20250919U0ZN,2025-08-01 08:46:00.000," ""S""",1.0,112.0
broker_46,XCMEFFDPSX20250919U0ZN,2025-08-01 08:46:00.000," ""S""",1.0,112.0
broker_84,XCMEFFDPSX20250919U0ZN,2025-08-01 08:47:00.000," ""B""",1.0,111.953125
broker_237,XCMEFFDPSX20250919U0ZN,2025-08-01 08:47:00.000," ""B""",2.0,111.953125
broker_12,XCMEFFDPSX20250919U0ZN,2025-08-01 08:47:00.000," ""B""",1.0,111.953125
broker_174,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50,2025-08-01 08:54:00.000," ""B""",10.0,0.078125
broker_154,XCMEFFDPSX20250919U0ZN,2025-08-01 09:00:00.000," ""S""",10.0,112.109375
broker_49,XCMEFFDPSX20250919U0ZN,2025-08-01 09:03:00.000," ""B""",5.0,112.078125
broker_122,XCMEFFDPSX20250919U0ZN,2025-08-01 09:03:00.000," ""B""",2.0,112.09375
broker_45,XCMEFFDPSX20250919U0ZN,2025-08-01 09:03:00.000," ""B""",2.0,112.109375
broker_264,XCMEFFDPSX20250919U0ZN,2025-08-01 09:04:00.000," ""B""",5.0,112.046875
broker_186,XCMEFFDPSX20250919U0ZN,2025-08-01 09:05:00.000," ""B""",2.0,112.0625
broker_71,XCMEFFDPSX20250919U0ZN,2025-08-01 09:06:00.000," ""B""",2.0,112.046875
broker_188,XCMEFFDPSX20250919U0ZN,2025-08-01 09:10:00.000," ""S""",1.0,112.09375
broker_142,XCMEFFDPSX20250919U0ZN,2025-08-01 09:10:00.000," ""S""",2.0,112.078125
broker_14,XCMEFFDPSX20250919U0ZN,2025-08-01 09:10:00.000," ""S""",1.0,112.09375
broker_9,XCMEFFDPSX20250919U0ZN,2025-08-01 09:10:00.000," ""S""",2.0,112.078125
broker_98,XCMEFFDPSX20250919U0ZN,2025-08-01 09:12:00.000," ""S""",5.0,112.09375
broker_261,XCMEFFDPSX20250919U0ZN,2025-08-01 09:12:00.000," ""S""",2.0,112.09375
broker_20,XCMEFFDPSX20250919U0ZN,2025-08-01 09:13:00.000," ""B""",2.0,112.0625
broker_110,XCMEFFDPSX20250919U0ZN,2025-08-01 09:14:00.000," ""S""",2.0,112.09375
broker_181,XCMEFFDPSX20250919U0ZN,2025-08-01 09:17:00.000," ""B""",2.0,112.0625
broker_260,XCMEFFDPSX20250919U0ZN,2025-08-01 09:17:00.000," ""B""",2.0,112.046875
broker_38,XCMEFFDPSX20250919U0ZN,2025-08-01 09:17:00.000," ""B""",2.0,112.015625
broker_133,XCMEFFDPSX20250919U0ZN,2025-08-01 09:17:00.000," ""B""",2.0,112.03125
broker_87,XCMEFFDPSX20250919U0ZN,2025-08-01 09:18:00.000," ""B""",4.0,112.015625
broker_15,XCMEFFDPSX20250919U0ZN,2025-08-01 09:19:00.000," ""B""",2.0,112.0
broker_204,XCMEFFDPSX20250919U0ZN,2025-08-01 09:20:00.000," ""B""",2.0,112.0
broker_11,XCMEFFDPSX20250919U0ZN,2025-08-01 09:24:00.000," ""S""",2.0,112.03125
broker_101,XCMEFFDPSX20250919U0ZN,2025-08-01 09:25:00.000," ""S""",2.0,112.046875
broker_202,XCMEFFDPSX20250919U0ZN,2025-08-01 09:27:00.000," ""S""",2.0,112.046875
broker_257,XCMEFFDPSX20250919U0ZN,2025-08-01 09:27:00.000," ""S""",5.0,112.046875
broker_25,XCMEFFDPSX20250919U0ZN,2025-08-01 09:27:00.000," ""S""",1.0,112.046875
broker_68,XCMEFFDPSX20250919U0ZN,2025-08-01 09:27:00.000," ""S""",1.0,112.046875
broker_113,XCMEFFDPSX20250919U0ZN,2025-08-01 09:30:00.000," ""B""",2.0,112.0
broker_40,XCMEFFDPSX20250919U0ZN,2025-08-01 09:33:00.000," ""B""",2.0,111.984375
broker_221,XCMEFFDPSX20250919U0ZN,2025-08-01 09:33:00.000," ""B""",5.0,111.96875
broker_73,XCMEFFDPSX20250919U0ZN,2025-08-01 09:33:00.000," ""B""",2.0,111.984375
broker_226,XCMEFFDPSX20250919U0ZN,2025-08-01 09:34:00.000," ""B""",2.0,111.953125
broker_60,XCMEFFDPSX20250919U0ZN,2025-08-01 09:37:00.000," ""B""",2.0,111.9375
broker_88,XCMEFFDPSX20250919U0ZN,2025-08-01 09:37:00.000," ""B""",2.0,111.9375
broker_62,XCMEFFDPSX20250919U0ZN,2025-08-01 09:41:00.000," ""B""",5.0,111.96875
broker_241,XCMEFFDPSX20250919U0ZN,2025-08-01 09:41:00.000," ""S""",2.0,111.984375
broker_223,XCMEFFDPSX20250919U0ZN,2025-08-01 09:42:00.000," ""B""",5.0,111.953125
broker_182,XCMEFFDPSX20250919U0ZN,2025-08-01 09:42:00.000," ""B""",2.0,111.953125
broker_136,XCMEFFDPSX20250919U0ZN,2025-08-01 09:46:00.000," ""S""",2.0,111.984375
broker_100,XCMEFFDPSX20250919U0ZN,2025-08-01 09:48:00.000," ""S""",2.0,111.984375
broker_232,XCMEFFDPSX20250919U0ZN,2025-08-01 09:48:00.000," ""S""",2.0,111.984375
broker_278,XCMEFFDPSX20250919U0ZN,2025-08-01 09:49:00.000," ""S""",5.0,112.0
broker_6,XCMEFFDPSX20250919U0ZN,2025-08-01 09:50:00.000," ""S""",2.0,111.984375
broker_138,XCMEFFDPSX20250919U0ZN,2025-08-01 09:55:00.000," ""B""",5.0,111.9375
broker_242,XCMEFFDPSX20250919U0ZN,2025-08-01 10:00:00.000," ""B""",2.0,111.953125
broker_4,XCMEFFDPSX20250919U0ZN,2025-08-01 10:00:00.000," ""B""",1.0,111.9375
broker_212,XCMEFFDPSX20250919U0ZN,2025-08-01 10:00:00.000," ""B""",1.0,111.9375
broker_10,XCMEFFDPSX20250919U0ZN,2025-08-01 10:00:00.000," ""B""",2.0,111.9375
broker_251,XCMEFFDPSX20250919U0ZN,2025-08-01 10:01:00.000," ""B""",5.0,111.921875
broker_246,XCMEFFDPSX20250919U0ZN,2025-08-01 10:02:00.000," ""B""",2.0,111.90625
broker_79,XCMEFFDPSX20250919U0ZN,2025-08-01 10:08:00.000," ""S""",2.0,111.953125
broker_168,XCMEFFDPSX20250919U0ZN,2025-08-01 10:10:00.000," ""S""",5.0,111.96875
broker_179,XCMEFFDPSX20250919U0ZN,2025-08-01 10:10:00.000," ""S""",2.0,111.96875
broker_109,XCMEFFDPSX20250919U0ZN,2025-08-01 10:13:00.000," ""B""",2.0,111.9375
broker_205,XCMEFFDPSX20250919U0ZN,2025-08-01 10:15:00.000," ""S""",1.0,111.953125
broker_248,XCMEFFDPSX20250919U0ZN,2025-08-01 10:15:00.000," ""S""",1.0,111.953125
broker_258,XCMEFFDPSX20250919U0ZN,2025-08-01 10:16:00.000," ""S""",2.0,111.96875
broker_43,XCMEFFDPSX20250919U0ZN,2025-08-01 10:16:00.000," ""S""",2.0,111.96875
broker_161,XCMEFFDPSX20250919U0ZN,2025-08-01 10:16:00.000," ""S""",2.0,111.96875
broker_39,XCMEFFDPSX20250919U0ZN,2025-08-01 10:17:00.000," ""S""",5.0,111.984375
broker_156,XCMEFFDPSX20250919U0ZN,2025-08-01 10:19:00.000," ""S""",1.0,111.984375
broker_59,XCMEFFDPSX20250919U0ZN,2025-08-01 10:19:00.000," ""S""",1.0,111.984375
broker_240,XCMEFFDPSX20250919U0ZN,2025-08-01 10:21:00.000," ""S""",3.0,112.0
broker_187,XCMEFFDPSX20250919U0ZN,2025-08-01 10:21:00.000," ""S""",1.0,112.0
broker_55,XCMEFFDPSX20250919U0ZN,2025-08-01 10:21:00.000," ""S""",1.0,112.0
broker_244,XCMEFFDPSX20250919U0ZN,2025-08-01 10:23:00.000," ""S""",2.0,112.015625
broker_111,XCMEFFDPSX20250919U0ZN,2025-08-01 10:23:00.000," ""S""",2.0,112.015625
broker_69,XCMEFFDPSX20250919U0ZN,2025-08-01 10:24:00.000," ""S""",5.0,112.03125
broker_106,XCMEFFDPSX20250919U0ZN,2025-08-01 10:28:00.000," ""S""",5.0,112.03125
broker_139,XCMEFFDPSX20250919U0ZN,2025-08-01 10:34:00.000," ""S""",5.0,112.046875
broker_21,XCMEFFDPSX20250919U0ZN,2025-08-01 10:34:00.000," ""S""",5.0,112.0625
broker_52,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.25,2025-08-01 10:36:00.000," ""B""",40.0,0.15625
broker_269,XCMEFFDPSX20250919U0ZN,2025-08-01 10:36:00.000," ""S""",2.0,112.046875
broker_117,XCMEFFDPSX20250919U0ZN,2025-08-01 10:36:00.000," ""S""",2.0,112.046875
broker_47,XCMEFFDPSX20250919U0ZN,2025-08-01 10:37:00.000," ""S""",2.0,112.03125
broker_140,XCMEFFDPSX20250919U0ZN,2025-08-01 10:49:00.000," ""S""",5.0,112.046875
broker_239,XCMEFFDPSX20250919U0ZN,2025-08-01 10:52:00.000," ""S""",2.0,112.03125
broker_23,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.25,2025-08-01 10:56:00.000," ""B""",20.0,0.140625
broker_150,XCMEFFDPSX20250919U0ZN,2025-08-01 11:07:00.000," ""S""",2.0,112.015625
