key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,midpoint_price,expiry_date,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.ZN.SEP25,111.3125,111.328125,,F,,,,,1000,1000,110875000.0,111.3203125,111320312.5,110897227,390625,111.3203125,SEP25,,,,,,,,,,,,,,,,,,False,,
XCME.WY2.09JUL25.110:25.C,,,110.25,C,,,,,0,0,0.0,,,110897227,390625,,09JUL25,2.7557319223985893e-06,20.0,20.0,1.0,63.0,2.5545077919488875e-225,4.2,1.4079077336578969e-229,8.86981872204475e-228,-2.0273871364673712e-222,7.315911368879498e-225,-1.367060810535147e-223,-4.960790269269941e-217,-2.5752951978217563e-216,1.5483571586095036e-212,7.991491431006372e-212,5.140668815104973e-215,True,,bachelier_v1.0
XCME.WY2.09JUL25.110:5.C,,,110.5,C,,,,,0,0,0.0,,,110897227,390625,,09JUL25,2.7557319223985893e-06,20.0,20.0,1.0,63.0,3.301315124374725e-132,4.2,1.81950789482734e-136,1.1462899737412242e-134,-2.6200913685513695e-129,5.553741340062155e-132,-1.3540550314818206e-130,-4.913594898241231e-124,-1.4973352722780823e-123,8.990276833415861e-120,2.7126201880575576e-119,2.9848433547596815e-122,True,,bachelier_v1.0
XCME.WY2.09JUL25.110:75.C,,,110.75,C,,,,,0,0,0.0,,,110897227,390625,,09JUL25,2.7557319223985893e-06,20.0,20.0,1.0,63.0,1.012907081534169e-63,4.2,5.582600758014601e-68,3.517038477549199e-66,-8.038945091541023e-61,8.23636144637388e-64,-2.8883678496872786e-62,-1.0481309252945196e-55,-1.5411327147129698e-55,9.220570887647549e-52,1.3280020152910777e-51,3.061302810920049e-54,True,,bachelier_v1.0
XCME.WY2.09JUL25.111.C,,,111.0,C,,,,,0,0,0.0,,,110897227,390625,,09JUL25,2.7557319223985893e-06,20.0,20.0,1.0,63.0,7.378279610201649e-20,4.2,4.066512130843061e-24,2.5619026424311284e-22,-5.855777468414007e-17,1.8925305213545184e-20,-1.181677593821358e-18,-4.2880716524589435e-12,-1.974202644615261e-12,1.1634190960335717e-08,5.0034118132954435e-09,3.862643856181343e-11,True,,bachelier_v1.0
XCME.WY2.09JUL25.111:25.C,,,111.25,C,,,,,0,0,0.0,,,110897227,390625,,09JUL25,2.7557319223985893e-06,20.0,20.0,0.9829038128322193,61.922940208429814,1.2759788842689062,9.19255620555861,7.03251148737272e-05,0.004430482237044814,-1012.6816541816717,0.015770613041043303,-4.485863265007873,-16278300.616060568,-283654.15726823884,728122035.5489998,-23864876.97941801,2417423.0221526637,True,,bachelier_v1.0
XCME.ZN2.11JUL25.110:25.C,1.0625,1.09375,110.25,C,1.0724259,,861.0631832,757.1361192,0,0,0.0,,,110897227,390625,1.078125,11JUL25,0.007415674603174603,6.803128989735446,6.803128989735446,0.9661463239669674,60.86721840991895,0.12833466111166114,4.567174830613446,0.006474456814622724,0.40789077932123163,-11.785034073137142,3.176491900537472,-20.19044357064532,-9261.341639253742,-935.5857042373909,5339.227826533599,-4943.738258605268,919.567853846542,True,,bachelier_v1.0
XCME.ZN2.11JUL25.110:5.C,0.8125,0.84375,110.5,C,0.8266922,,703.2738061,611.7137634,0,0,0.0,,,110897227,390625,0.828125,11JUL25,0.007415674603174603,5.4741831377339825,5.4741831377339825,0.9590829513054168,60.42222593224126,0.18619720571529488,4.7671651049667565,0.007558631040231547,0.4761937555345874,-11.070857681548684,4.181125205951241,-27.90186069232494,-10298.449128818358,-1393.963021433636,613.7483507232271,-8910.918983719392,105.70503301463856,True,,bachelier_v1.0
XCME.ZN2.11JUL25.110:75.C,0.578125,0.59375,110.75,C,0.5874637,434.6366784,542.7326666,493.9084329,0,0,0.0,,,110897227,390625,0.5859375,11JUL25,0.007415674603174603,4.783300387062481,4.783300387062481,0.9169055594187074,57.76505024337857,0.37139668977280726,5.325076811266843,0.013173960244376339,0.8299594953957093,-16.860203113330055,5.279690924178252,-44.28159586400807,-14281.382744691811,-1144.7468499854258,-37549.124122612615,-1500.3391908589401,-6467.0339242042855,True,,bachelier_v1.0
XCME.ZN2.11JUL25.111.C,0.359375,0.375,111.0,C,0.3695566,431.5782932,492.3096277,462.5550952,0,0,0.0,,,110897227,390625,0.3671875,11JUL25,0.007415674603174603,4.599048939811789,4.599048939811789,0.7906792133515579,49.812790441148145,0.726315254246725,6.203597940181795,0.024771018368148483,1.5605741571933545,-30.481103883369,3.5231965940783625,-50.586079409153875,-15686.2232585225,513.0160251081395,-92913.71221740243,33281.72633525475,-16002.400667765229,True,,bachelier_v1.0
