line_no,raw,normalized_bbg,actantrisk,status,error
1,TYU5 Comdty,TYU5 Comdty,,not_found,
2,TUU5 Comdty,TUU5 Comdty,,not_found,
3,FVU5 Comdty,FVU5 Comdty,,not_found,
4,USU5 Comdty,USU5 Comdty,,not_found,
5,VBYQ25C2 110 Comdty,VBYQ25C2 110 Comdty,XCME.VY2.11AUG25.110.C,ok,
6,VBYQ25C2 110.25 Comdty,VBYQ25C2 110.25 Comdty,XCME.VY2.11AUG25.110:25.C,ok,
7,VBYQ25C2 110.5 Comdty,VBYQ25C2 110.5 Comdty,XCME.VY2.11AUG25.110:5.C,ok,
8,VBYQ25C2 110.75 Comdty,VBYQ25C2 110.75 Comdty,XCME.VY2.11AUG25.110:75.C,ok,
9,VBYQ25C2 111 Comdty,VBYQ25C2 111 Comdty,XCME.VY2.11AUG25.111.C,ok,
10,VBYQ25C2 111.25 Comdty,VBYQ25C2 111.25 Comdty,XCME.VY2.11AUG25.111:25.C,ok,
11,VBYQ25C2 111.5 Comdty,VBYQ25C2 111.5 Comdty,XCME.VY2.11AUG25.111:5.C,ok,
12,VBYQ25C2 111.75 Comdty,VBYQ25C2 111.75 Comdty,XCME.VY2.11AUG25.111:75.C,ok,
13,VBYQ25C2 112 Comdty,VBYQ25C2 112 Comdty,XCME.VY2.11AUG25.112.C,ok,
14,VBYQ25C2 112.25 Comdty,VBYQ25C2 112.25 Comdty,XCME.VY2.11AUG25.112:25.C,ok,
15,VBYQ25C2 112.5 Comdty,VBYQ25C2 112.5 Comdty,XCME.VY2.11AUG25.112:5.C,ok,
16,VBYQ25C2 112.75 Comdty,VBYQ25C2 112.75 Comdty,XCME.VY2.11AUG25.112:75.C,ok,
17,VBYQ25C2 113 Comdty,VBYQ25C2 113 Comdty,XCME.VY2.11AUG25.113.C,ok,
18,VBYQ25C2 113.25 Comdty,VBYQ25C2 113.25 Comdty,XCME.VY2.11AUG25.113:25.C,ok,
19,VBYQ25C2 113.5 Comdty,VBYQ25C2 113.5 Comdty,XCME.VY2.11AUG25.113:5.C,ok,
20,VBYQ25C2 113.75 Comdty,VBYQ25C2 113.75 Comdty,XCME.VY2.11AUG25.113:75.C,ok,
21,VBYQ25C2 114 Comdty,VBYQ25C2 114 Comdty,XCME.VY2.11AUG25.114.C,ok,
22,VBYQ25P2 110 Comdty,VBYQ25P2 110 Comdty,XCME.VY2.11AUG25.110.P,ok,
23,VBYQ25P2 110.25 Comdty,VBYQ25P2 110.25 Comdty,XCME.VY2.11AUG25.110:25.P,ok,
