Symbol,Flash_Close,Prior_Close,EXPIRE_DT,MONEYNESS
TUU5,103.19125,,,
FVU5,108.0075,,,
TYU5,110.165,,,
USU5,112.04,,,
RXU5,129.2176,,,
HY3N5 C 112.250,0.007,,2025-07-17,-1.0
HY3N5 C 112.000,0.007,,2025-07-17,-1.0
HY3N5 C 111.750,0.007,,2025-07-17,-1.0
HY3N5 C 111.500,0.007,,2025-07-17,-1.0
HY3N5 C 111.250,0.007,,2025-07-17,-1.0
HY3N5 C 111.000,0.007,,2025-07-17,-1.0
HY3N5 C 110.750,0.007,,2025-07-17,1.0
HY3N5 P 110.750,0.234375,,2025-07-17,1.0
HY3N5 P 110.500,0.007,,2025-07-17,-1.0
HY3N5 P 110.250,0.007,,2025-07-17,-1.0
HY3N5 P 110.000,0.007,,2025-07-17,-1.0
HY3N5 P 109.750,0.007,,2025-07-17,-1.0
HY3N5 P 109.500,0.007,,2025-07-17,-1.0
HY3N5 P 109.250,0.007,,2025-07-17,-1.0
HY3N5 C 109.250,1.265625,,2025-07-17,1.0
HY3N5 C 109.500,1.015625,,2025-07-17,1.0
HY3N5 C 109.750,0.765625,,2025-07-17,1.0
HY3N5 C 110.000,0.515625,,2025-07-17,1.0
HY3N5 C 110.250,0.265625,,2025-07-17,1.0
HY3N5 C 110.500,0.015625,,2025-07-17,1.0
HY3N5 P 111.000,0.484375,,2025-07-17,1.0
HY3N5 P 111.250,0.734375,,2025-07-17,1.0
HY3N5 P 111.500,0.984375,,2025-07-17,1.0
HY3N5 P 111.750,1.234375,,2025-07-17,1.0
HY3N5 P 112.000,1.484375,,2025-07-17,1.0
HY3N5 P 112.250,1.734375,,2025-07-17,1.0
ZN3N5 C 112.250,0.0,,2025-07-18,-1.0
ZN3N5 C 112.000,0.0,,2025-07-18,-1.0
ZN3N5 C 111.750,0.0,,2025-07-18,-1.0
ZN3N5 C 111.500,0.0,,2025-07-18,-1.0
ZN3N5 C 111.250,0.015625,,2025-07-18,-1.0
ZN3N5 C 111.000,0.0,,2025-07-18,-1.0
ZN3N5 C 110.750,0.03125,,2025-07-18,1.0
ZN3N5 P 110.750,0.1875,,2025-07-18,1.0
ZN3N5 P 110.500,0.078125,,2025-07-18,-1.0
ZN3N5 P 110.250,0.015625,,2025-07-18,-1.0
