RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.937500000, "110.300", "20250729", 0.00, "", "7664", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025072900009P9I", "0827 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.031250000, "111.010", "20250729", 0.00, "", "7668", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000BKS2", "0903 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.125000000, "111.040", "20250729", 0.00, "", "7673", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000DN8J", "1000 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.000000000, "111.000", "20250729", 0.00, "", "7665", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000A9MG", "0840 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.140625000, "111.045", "20250729", 0.00, "", "7671", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000CR6M", "0935 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.343750000, "111.110", "20250729", 0.00, "", "7686", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000IBK0", "1221 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.390625000, "111.125", "20250729", 0.00, "", "7706", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000N296", "1530 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.140625000, "111.045", "20250729", 0.00, "", "7674", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000FT7A", "1049 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 111.390625000, "111.125", "20250729", 0.00, "", "7697", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000MPC8", "1459 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.328125000, "111.105", "20250729", 0.00, "", "7696", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202507290000M34L", "1418 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
