RECORD I D,FIRM,OFFICE,SALESMAN,ACCOUNT,EXCHANGE,EXCHANGE_NAME,FUTURES CODE,SYMBOL,PUT/CALL,STRIKE PRICE,DESCRIPTION,B/S,CONTRACT YEAR,CONTRACT MONTH,CONTRACT DAY,QTY,TRADE PRICE,PRINTABLE TRADE PRICE,TRADE DATE,CASH AMOUNT,SUB-ACCOUNT,ORDER NUMBER,SPREAD CODE,TRADE TYPE,COMMENT CODE,EXEC BROKER,OPP BROKER,OPP FIRM,G/I CODE,G.I FIRM,CURR SYMBOL,PROD CURR,PROD TYPE,TRACER,EXEC TIME,OPT EXP DATE,LAST TRD DATE,TRADED EXCHG,SUB EXCHANGE,SOURCE REFRNCE,EXCH COMM CD,MULT FACTOR,CUSIP,CHIT NUMBER,EXTERNAL ACCOUNT
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 3.00, 112.171875000, "112.055", "20250801", 0.00, "", "8135", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000UM1W", "1343 ", "", "20250919", "01", "", "JDAS_ATS                                                    ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 112.125000000, "112.040", "20250801", 0.00, "", "8019", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000RYRX", "1204 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 112.234375000, "112.075", "20250801", 0.00, "", "8162", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000VNRP", "1430 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 1.00, 110.953125000, "110.305", "20250801", 0.00, "", "7901", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-2025080100005R6Z", "0359 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 1.00, 111.937500000, "111.300", "20250801", 0.00, "", "8077", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000NAAC", "1000 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 112.234375000, "112.075", "20250801", 0.00, "", "8033", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000VNWD", "1430 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 111.984375000, "111.315", "20250801", 0.00, "", "8075", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000MPFN", "0950 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 5.00, 112.109375000, "112.035", "20250801", 0.00, "", "8020", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000RPAO", "1158 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 5.00, 112.125000000, "112.040", "20250801", 0.00, "", "8149", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000TSEQ", "1311 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 112.078125000, "112.025", "20250801", 0.00, "", "8022", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000JLF2", "0910 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "B", "2025", "09", "", 2.00, 111.937500000, "111.300", "20250801", 0.00, "", "8080", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000NA97", "1000 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
"T", "W", "UDN", "NBUD0", "80482", "01", "CBT", "21", "", " ", "0", "SEP 25 CBT 10YR TNOTE", "S", "2025", "09", "", 2.00, 112.031250000, "112.010", "20250801", 0.00, "", "8045", " ", "", "B", "6URL", "", "", " ", "", "USD", "US", "F", "UDN80482-202508010000KUH6", "0924 ", "", "20250919", "01", "", "JDAS                                                        ", "21", 1000.00, "01210000025I", "", "UDN80482"
