Key,STRIKE,BID,ASK,ADJTHEOR,ITYPE,BloombergKey
Type,,,,,,
XCME.ZN.SEP25,,112.421875,112.453125,112.453125,F,TYU5 Comdty
XCME.ZT.SEP25,,104.00390625,104.0078125,104.01171875,F,TUU5 Comdty
XCME.ZF.SEP25,,109.2890625,109.3046875,109.28125,F,FVU5 Comdty
XCME.ZB.SEP25,,114.53125,114.5625,114.59375,F,USU5 Comdty
XCME.ZN.DEC25,,112.46875,112.484375,112.484375,F,TYZ5 Comdty
XCME.ZT.DEC25,,104.30078125,104.3046875,104.30078125,F,TUZ5 Comdty
XCME.ZF.DEC25,,109.4765625,109.484375,109.484375,F,FVZ5 Comdty
XCME.ZB.DEC25,,114.125,114.15625,114.15625,F,USZ5 Comdty
XCME.HY4.28AUG25.113:75.P,113.75,1.25,1.28125,1.265625,P,TJWQ25P4 113.75 Comdty
XCME.HY4.28AUG25.114.P,114.0,1.5,1.53125,1.515625,P,TJWQ25P4 114 Comdty
XCME.ZN5.29AUG25.110.C,110.0,2.453125,2.5,2.484375,C,5MQ5C 110 Comdty
XCME.ZN5.29AUG25.110:25.C,110.25,2.21875,2.265625,2.234375,C,5MQ5C 110.25 Comdty
XCME.ZN5.29AUG25.110:5.C,110.5,1.953125,2.0,1.984375,C,5MQ5C 110.5 Comdty
XCME.ZN5.29AUG25.110:75.C,110.75,1.71875,1.765625,1.734375,C,5MQ5C 110.75 Comdty
