Trade Description,Underlying,Strike,Implied Vol (Daily BP),DV01 Gamma,Theta,%Delta,Vega
1st 10y note 0 out call,110-26,110.75,8.06,4002,-124781,0.5660000000000001,1188
1st 10y note 0 out put,110-26,110.75,8.06,4002,-124772,-0.434,1188
1st 10y note 25 out call,110-26,111.0,8.21,3574,-80572,0.318,1074
1st 10y note 25 out put,110-26,110.5,7.84,2935,-42580,-0.201,851
1st 10y note 50 out call,110-26,111.25,8.54,2184,-29822,0.14300000000000002,679
1st 10y note 50 out put,110-26,110.25,7.87,1351,-11230,-0.067,395
1st 10y note 75 out call,110-26,111.5,9.06,1047,-10481,0.057,343
1st 10y note 75 out put,110-26,110.0,8.61,537,-3783,-0.024,173
1st 10y note 100 out call,110-26,111.75,9.62,439,-3568,0.021,152
1st 10y note 100 out put,110-26,109.75,8.61,135,-649,-0.005,43
2nd 10y note 0 out call,110-26,110.75,7.56,2049,-65631,0.536,2523
2nd 10y note 0 out put,110-26,110.75,7.56,2049,-65631,-0.46399999999999997,2523
2nd 10y note 25 out call,110-26,111.0,7.75,1959,-65135,0.408,2460
2nd 10y note 25 out put,110-26,110.5,7.38,1917,-57560,-0.33399999999999996,2318
2nd 10y note 50 out call,110-26,111.25,7.62,1752,-54026,0.287,2152
2nd 10y note 50 out put,110-26,110.25,7.24,1578,-43283,-0.218,1881
2nd 10y note 75 out call,110-26,111.5,7.61,1388,-39823,0.187,1694
2nd 10y note 75 out put,110-26,110.0,7.28,1138,-29229,-0.132,1372
2nd 10y note 100 out call,110-26,111.75,8.02,1010,-29823,0.125,1291
2nd 10y note 100 out put,110-26,109.75,7.19,723,-16222,-0.07,865
3rd 10y note 0 out call,110-26,110.75,7.15,1602,-43410,0.529,3418
3rd 10y note 0 out put,110-26,110.75,7.15,1602,-43412,-0.47,3418
3rd 10y note 25 out call,110-26,111.0,7.32,1549,-43675,0.429,3365
3rd 10y note 25 out put,110-26,110.5,7.1,1527,-40758,-0.369,3251
3rd 10y note 50 out call,110-26,111.25,7.05,1483,-38208,0.32799999999999996,3088
3rd 10y note 50 out put,110-26,110.25,7.2,1338,-36465,-0.28,2907
3rd 10y note 75 out call,110-26,111.5,7.26,1262,-33705,0.247,2691
3rd 10y note 75 out put,110-26,110.0,7.21,1114,-29915,-0.201,2435
3rd 10y note 100 out call,110-26,111.75,7.45,1028,-28098,0.18100000000000002,2237
3rd 10y note 100 out put,110-26,109.75,7.16,868,-22423,-0.136,1895
4th 10y note 0 out call,110-26,110.75,7.14,1477,-39486,0.528,3714
4th 10y note 0 out put,110-26,110.75,7.14,1478,-39487,-0.47200000000000003,3714
4th 10y note 25 out call,110-26,111.0,7.04,1484,-38352,0.433,3660
4th 10y note 25 out put,110-26,110.5,6.85,1464,-36024,-0.375,3548
4th 10y note 50 out call,110-26,111.25,7.09,1380,-35734,0.342,3411
4th 10y note 50 out put,110-26,110.25,6.97,1293,-32811,-0.289,3207
4th 10y note 75 out call,110-26,111.5,7.35,1196,-32733,0.267,3048
4th 10y note 75 out put,110-26,110.0,6.68,1111,-25561,-0.203,2656
4th 10y note 100 out call,110-26,111.75,7.27,1016,-26565,0.195,2547
4th 10y note 100 out put,110-26,109.75,7.06,874,-22175,-0.152,2221
5th 10y note 0 out call,110-26,110.75,6.85,1322,-32062,0.525,4328
5th 10y note 0 out put,110-26,110.75,6.85,1322,-32064,-0.473,4328
5th 10y note 25 out call,110-26,111.0,6.77,1328,-31333,0.441,4279
5th 10y note 25 out put,110-26,110.5,6.85,1271,-30952,-0.391,4186
5th 10y note 50 out call,110-26,111.25,6.85,1248,-29893,0.36,4048
5th 10y note 50 out put,110-26,110.25,6.79,1177,-28142,-0.311,3863
5th 10y note 75 out call,110-26,111.5,6.89,1130,-27048,0.28600000000000003,3668
5th 10y note 75 out put,110-26,110.0,6.94,1022,-25431,-0.244,3443
5th 10y note 100 out call,110-26,111.75,6.91,984,-23277,0.21899999999999997,3182
5th 10y note 100 out put,110-26,109.75,6.8,866,-20551,-0.179,2877
6th 10y note 0 out call,110-26,110.75,6.87,1163,-28157,0.523,4903
6th 10y note 0 out put,110-26,110.75,6.87,1163,-28159,-0.475,4903
6th 10y note 25 out call,110-26,111.0,7.01,1137,-28487,0.451,4863
6th 10y note 25 out put,110-26,110.5,6.89,1124,-27510,-0.402,4778
6th 10y note 50 out call,110-26,111.25,6.92,1109,-26896,0.37799999999999995,4658
6th 10y note 50 out put,110-26,110.25,6.89,1053,-25821,-0.33299999999999996,4499
6th 10y note 75 out call,110-26,111.5,7.02,1021,-25280,0.313,4330
6th 10y note 75 out put,110-26,110.0,6.88,954,-23300,-0.268,4089
6th 10y note 100 out call,110-26,111.75,6.9,930,-21972,0.248,3856
6th 10y note 100 out put,110-26,109.75,6.86,834,-20268,-0.21,3588
7th 10y note 0 out call,110-28.5,111.0,6.99,973,-24106,0.479,5868
7th 10y note 0 out put,110-28.5,111.0,7.0,972,-24103,-0.519,5868
7th 10y note 25 out call,110-28.5,111.25,7.01,955,-23630,0.419,5742
7th 10y note 25 out put,110-28.5,110.75,6.98,967,-24035,-0.45799999999999996,5859
7th 10y note 50 out call,110-28.5,111.5,7.04,914,-22666,0.36200000000000004,5493
7th 10y note 50 out put,110-28.5,110.5,6.98,940,-23417,-0.39799999999999996,5716
7th 10y note 75 out call,110-28.5,111.75,7.09,855,-21341,0.308,5145
7th 10y note 75 out put,110-28.5,110.25,6.98,890,-22307,-0.341,5448
7th 10y note 100 out call,110-28.5,112.0,7.18,780,-19844,0.26,4735
7th 10y note 100 out put,110-28.5,110.0,7.01,822,-20831,-0.287,5079
1st 10y note 0 out call,110-28,111.0,8.21,3804,-102271,0.377,1145
1st 10y note 0 out put,110-28,111.0,8.21,3803,-102314,-0.623,1145
1st 10y note 25 out call,110-28,111.25,8.54,2541,-39929,0.18100000000000002,792
1st 10y note 25 out put,110-28,110.75,8.06,3846,-99611,-0.37200000000000005,1143
1st 10y note 50 out call,110-28,111.5,9.06,1302,-14612,0.076,428
1st 10y note 50 out put,110-28,110.5,7.84,2520,-31383,-0.158,731
1st 10y note 75 out call,110-28,111.75,9.62,574,-5133,0.028999999999999998,199
1st 10y note 75 out put,110-28,110.25,7.87,1042,-7645,-0.048,305
1st 10y note 100 out call,110-28,112.0,9.62,178,-1113,0.006999999999999999,61
1st 10y note 100 out put,110-28,110.0,8.61,395,-2517,-0.017,127
2nd 10y note 0 out call,110-28,111.0,7.75,1989,-66522,0.44,2501
