Key,STRIKE,BID,ASK,ADJTHEOR,ITYPE,BloombergKey
Type,,,,,,
XCME.ZN.SEP25,,111.5625,111.578125,111.578125,F,TYU5 Comdty
XCME.ZT.SEP25,,103.81640625,103.8203125,103.8203125,F,TUU5 Comdty
XCME.ZF.SEP25,,108.671875,108.6796875,108.6796875,F,FVU5 Comdty
XCME.ZB.SEP25,,113.8125,113.84375,113.84375,F,USU5 Comdty
XCME.GY4.26AUG25.113:5.P,113.5,1.9375,1.953125,1.921875,P,TJPQ25P4 113.5 Comdty
XCME.GY4.26AUG25.113:75.P,113.75,2.171875,2.203125,2.171875,P,TJPQ25P4 113.75 Comdty
XCME.GY4.26AUG25.114.P,114.0,2.421875,2.453125,2.421875,P,TJPQ25P4 114 Comdty
XCME.WY4.27AUG25.110.C,110.0,1.578125,1.609375,1.58456014366499,C,TYWQ25C4 110 Comdty
XCME.WY4.27AUG25.110:25.C,110.25,1.328125,1.359375,1.3445241375799,C,TYWQ25C4 110.25 Comdty
XCME.WY4.27AUG25.110:5.C,110.5,1.09375,1.125,1.10936080053895,C,TYWQ25C4 110.5 Comdty
XCME.WY4.27AUG25.110:75.C,110.75,0.875,0.90625,0.883508479665576,C,TYWQ25C4 110.75 Comdty
XCME.WY4.27AUG25.111.C,111.0,0.671875,0.6875,0.674374254767816,C,TYWQ25C4 111 Comdty
XCME.WY4.27AUG25.111:25.C,111.25,0.484375,0.515625,0.489455367817115,C,TYWQ25C4 111.25 Comdty
XCME.WY4.27AUG25.111:5.C,111.5,0.34375,0.359375,0.33757764090155,C,TYWQ25C4 111.5 Comdty
XCME.WY4.27AUG25.111:75.C,111.75,0.234375,0.25,0.222015535271836,C,TYWQ25C4 111.75 Comdty
XCME.WY4.27AUG25.112.C,112.0,0.15625,0.171875,0.140989195520092,C,TYWQ25C4 112 Comdty
XCME.WY4.27AUG25.112:25.C,112.25,0.09375,0.109375,0.0877014427201743,C,TYWQ25C4 112.25 Comdty
XCME.WY4.27AUG25.112:5.C,112.5,0.0625,0.078125,0.0552857485529472,C,TYWQ25C4 112.5 Comdty
XCME.WY4.27AUG25.112:75.C,112.75,0.03125,0.0625,0.0357320230330629,C,TYWQ25C4 112.75 Comdty
XCME.WY4.27AUG25.113.C,113.0,0.03125,0.046875,0.0240876020839238,C,TYWQ25C4 113 Comdty
XCME.WY4.27AUG25.113:25.C,113.25,0.015625,0.03125,0.0171471825864415,C,TYWQ25C4 113.25 Comdty
XCME.WY4.27AUG25.113:5.C,113.5,0.015625,0.03125,0.012854398089658,C,TYWQ25C4 113.5 Comdty
XCME.WY4.27AUG25.113:75.C,113.75,0.015625,0.03125,0.0102681278289083,C,TYWQ25C4 113.75 Comdty
XCME.WY4.27AUG25.114.C,114.0,0.007,0.03125,0.00864438096273546,C,TYWQ25C4 114 Comdty
XCME.WY4.27AUG25.110.P,110.0,0.015625,0.03125,0.0136201491161501,P,TYWQ25P4 110 Comdty
