key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,midpoint_price,expiry_date
XCME.ZN.SEP25,110.765625,110.78125,,F,,,,,1000,1000,110719000.0,110.7734375,110773437.5,110725927,0,110.7734375,SEP25
XCME.WY2.09JUL25.110:25.C,0.515625,0.546875,110.25,C,,,663.7854635,567.6509986,0,0,0.0,,,110725927,0,0.53125,09JUL25
XCME.WY2.09JUL25.110:5.C,0.296875,0.3125,110.5,C,,324.2590835,511.8235582,427.7863108,0,0,0.0,,,110725927,0,0.3046875,09JUL25
XCME.WY2.09JUL25.110:75.C,0.125,0.140625,110.75,C,,427.6582915,485.9765269,456.8210644,0,0,0.0,,,110725927,0,0.1328125,09JUL25
XCME.WY2.09JUL25.111.C,0.03125,0.046875,111.0,C,,410.1697228,488.1126754,450.0963893,0,0,0.0,,,110725927,0,0.0390625,09JUL25
XCME.WY2.09JUL25.111:25.C,0.0069999,0.015625,111.25,C,,446.5489986,539.0404265,497.6885466,0,0,0.0,,,110725927,0,0.01131245,09JUL25
XCME.ZN2.11JUL25.110:25.C,0.546875,0.578125,110.25,C,,391.2030125,506.5873294,452.5495356,0,0,0.0,,,110725927,0,0.5625,11JUL25
XCME.ZN2.11JUL25.110:5.C,0.359375,0.375,110.5,C,,429.0417623,468.4872539,448.8650343,0,0,0.0,,,110725927,0,0.3671875,11JUL25
XCME.ZN2.11JUL25.110:75.C,0.203125,0.21875,110.75,C,,423.6424707,457.9608355,440.8021274,0,0,0.0,,,110725927,0,0.2109375,11JUL25
XCME.ZN2.11JUL25.111.C,0.09375,0.125,111.0,C,,409.6972002,485.6568669,448.1772268,0,0,0.0,,,110725927,0,0.109375,11JUL25
XCME.ZN2.11JUL25.111:25.C,0.046875,0.0625,111.25,C,,444.57705,495.7829879,471.0297163,0,0,0.0,,,110725927,0,0.0546875,11JUL25
XCME.VY2.14JUL25.110:25.C,0.578125,0.59375,110.25,C,,393.4638882,487.6231469,442.6798059,0,0,0.0,,,110725927,0,0.5859375,14JUL25
XCME.VY2.14JUL25.110:5.C,0.375,0.40625,110.5,C,,411.910218,480.459157,446.6988503,0,0,0.0,,,110725927,0,0.390625,14JUL25
XCME.VY2.14JUL25.110:75.C,0.234375,0.25,110.75,C,,435.081374,465.655165,450.3686243,0,0,0.0,,,110725927,0,0.2421875,14JUL25
XCME.VY2.14JUL25.111.C,0.125,0.15625,111.0,C,,430.1297307,495.9391882,463.1952373,0,0,0.0,,,110725927,0,0.140625,14JUL25
XCME.VY2.14JUL25.111:25.C,0.0625,0.078125,111.25,C,,439.7338399,482.0652837,461.2101907,0,0,0.0,,,110725927,0,0.0703125,14JUL25
XCME.WY3.16JUL25.110:25.C,0.640625,0.65625,110.25,C,,500.1968363,531.028464,515.6244128,0,0,0.0,,,110725927,0,0.6484375,16JUL25
XCME.WY3.16JUL25.110:5.C,0.46875,0.484375,110.5,C,,503.0814935,529.5316721,516.2628375,0,0,0.0,,,110725927,0,0.4765625,16JUL25
XCME.WY3.16JUL25.110:75.C,0.328125,0.34375,110.75,C,,507.8428482,532.9458963,520.3943722,0,0,0.0,,,110725927,0,0.3359375,16JUL25
XCME.WY3.16JUL25.111.C,0.21875,0.234375,111.0,C,,512.9135056,538.8116413,525.7917617,0,0,0.0,,,110725927,0,0.2265625,16JUL25
XCME.WY3.16JUL25.111:25.C,0.140625,0.15625,111.25,C,,521.5378288,551.0442776,536.35672,0,0,0.0,,,110725927,0,0.1484375,16JUL25
XCME.ZN3.18JUL25.110:25.C,0.671875,0.703125,110.25,C,,487.4511257,537.9384747,512.8689434,0,0,0.0,,,110725927,0,0.6875,18JUL25
XCME.ZN3.18JUL25.110:5.C,0.5,0.53125,110.5,C,,481.7993146,526.9084631,504.5123498,0,0,0.0,,,110725927,0,0.515625,18JUL25
XCME.ZN3.18JUL25.110:75.C,0.375,0.390625,110.75,C,,504.4956761,526.0990451,515.2974062,0,0,0.0,,,110725927,0,0.3828125,18JUL25
XCME.ZN3.18JUL25.111.C,0.265625,0.28125,111.0,C,,510.6464038,532.7613075,521.6444357,0,0,0.0,,,110725927,0,0.2734375,18JUL25
XCME.ZN3.18JUL25.111:25.C,0.171875,0.1875,111.25,C,,501.0354239,525.7081023,513.4111751,0,0,0.0,,,110725927,0,0.1796875,18JUL25
XCME.WY2.09JUL25.110:25.P,0.0069999,0.015625,110.25,P,,475.4248371,571.2186221,528.0660818,200,200,2199.9999999,0.0113125,2262.4999999,110725927,0,0.01131245,09JUL25
XCME.WY2.09JUL25.110:5.P,0.03125,0.046875,110.5,P,,451.9805491,533.2109527,493.7548539,-100,-100,-3900.0,0.0390625,-3906.25,110725927,0,0.0390625,09JUL25
XCME.WY2.09JUL25.110:75.P,0.109375,0.125,110.75,P,,443.6607661,501.9713614,472.8193505,0,0,0.0,,,110725927,0,0.1171875,09JUL25
XCME.WY2.09JUL25.111.P,0.265625,0.28125,111.0,P,,346.7384655,508.3362729,432.3624226,0,0,0.0,,,110725927,0,0.2734375,09JUL25
XCME.WY2.09JUL25.111:25.P,0.484375,0.5,111.25,P,,,574.7330259,461.659019,0,0,0.0,,,110725927,0,0.4921875,09JUL25
XCME.ZN2.11JUL25.110:25.P,0.03125,0.046875,110.25,P,,409.146752,467.9551455,439.5899427,100,100,3900.0,0.0390625,3906.25,110725927,0,0.0390625,11JUL25
XCME.ZN2.11JUL25.110:5.P,0.09375,0.109375,110.5,P,,439.9937058,479.146272,459.7966655,0,0,0.0,,,110725927,0,0.1015625,11JUL25
XCME.ZN2.11JUL25.110:75.P,0.1875,0.203125,110.75,P,,433.0952467,467.4125979,450.2543669,0,0,0.0,,,110725927,0,0.1953125,11JUL25
XCME.ZN2.11JUL25.111.P,0.328125,0.34375,111.0,P,,420.3240937,495.9799751,458.500335,0,0,0.0,,,110725927,0,0.3359375,11JUL25
XCME.ZN2.11JUL25.111:25.P,0.515625,0.546875,111.25,P,,404.0023643,509.4186951,459.136066,0,0,0.0,,,110725927,0,0.53125,11JUL25
XCME.VY2.14JUL25.110:25.P,0.046875,0.078125,110.25,P,,418.7436161,508.9972975,465.569012,0,0,0.0,,,110725927,0,0.0625,14JUL25
XCME.VY2.14JUL25.110:5.P,0.109375,0.140625,110.5,P,,429.2840744,497.3393104,463.5790036,0,0,0.0,,,110725927,0,0.125,14JUL25
XCME.VY2.14JUL25.110:75.P,0.21875,0.234375,110.75,P,,450.3686243,480.9410651,465.655165,1,1,227.0,0.2265625,226.5625,110725927,0,0.2265625,14JUL25
XCME.VY2.14JUL25.111.P,0.359375,0.375,111.0,P,,446.8232618,479.5672128,463.1952373,0,0,0.0,,,110725927,0,0.3671875,14JUL25
XCME.VY2.14JUL25.111:25.P,0.546875,0.5625,111.25,P,,417.4838598,502.5305847,461.2101907,0,0,0.0,,,110725927,0,0.5546875,14JUL25
XCME.WY3.16JUL25.110:25.P,0.125,0.140625,110.25,P,,515.6244128,546.2566068,531.028464,0,0,0.0,,,110725927,0,0.1328125,16JUL25
XCME.WY3.16JUL25.110:5.P,0.203125,0.21875,110.5,P,,516.2628375,542.7642089,529.5316721,0,0,0.0,,,110725927,0,0.2109375,16JUL25
XCME.WY3.16JUL25.110:75.P,0.3125,0.328125,110.75,P,,495.2913241,545.4974204,520.3943722,0,0,0.0,,,110725927,0,0.3203125,16JUL25
XCME.WY3.16JUL25.111.P,0.4375,0.46875,111.0,P,,499.7574415,551.8087232,525.7917617,0,0,0.0,,,110725927,0,0.453125,16JUL25
XCME.WY3.16JUL25.111:25.P,0.609375,0.640625,111.25,P,,506.5732781,565.6128648,536.35672,0,0,0.0,,,110725927,0,0.625,16JUL25
XCME.ZN3.18JUL25.110:25.P,0.15625,0.171875,110.25,P,,494.5880319,519.8185675,507.1968027,0,0,0.0,,,110725927,0,0.1640625,18JUL25
XCME.ZN3.18JUL25.110:5.P,0.234375,0.265625,110.5,P,,488.0630578,533.1046482,510.6082908,0,0,0.0,,,110725927,0,0.25,18JUL25
XCME.ZN3.18JUL25.110:75.P,0.34375,0.375,110.75,P,,488.8497893,532.0567052,510.4534352,0,0,0.0,,,110725927,0,0.359375,18JUL25
XCME.ZN3.18JUL25.111.P,0.484375,0.515625,111.0,P,,494.4174015,538.8871942,516.6546262,0,0,0.0,,,110725927,0,0.5,18JUL25
XCME.ZN3.18JUL25.111:25.P,0.65625,0.671875,111.25,P,,507.8714852,532.4591386,520.2029318,0,0,0.0,,,110725927,0,0.6640625,18JUL25
XCME.ZN,,,,N,,,,,0,0,0.0,,,110725927,0,,
